State,avg_bal,med_bal,avg_inc,med_inc,avg_dti,med_dti,avg_bal_label,med_bal_label,avg_inc_label,med_inc_label,avg_bal_rankNat,med_bal_rankNat,avg_inc_rankNat,med_inc_rankNat,avg_dti_rankNat,med_dti_rankNat,avg_bal_pctNat,med_bal_pctNat,avg_inc_pctNat,med_inc_pctNat,avg_dti_pctNat,med_dti_pctNat,pct_bal_grt,avg_bal_sh_obal,med_bal_sh_obal,pct_bal_grt_label,avg_bal_sh_obal_label,med_bal_sh_obal_label,pct_bal_grt_rankNat,avg_bal_sh_obal_rankNat,med_bal_sh_obal_rankNat,pct_bal_grt_pctNat,avg_bal_sh_obal_pctNat,med_bal_sh_obal_pctNat,avg_bal_ASIAN,med_bal_ASIAN,avg_inc_ASIAN,med_inc_ASIAN,avg_dti_ASIAN,med_dti_ASIAN,avg_bal_label_ASIAN,med_bal_label_ASIAN,avg_inc_label_ASIAN,med_inc_label_ASIAN,avg_bal_rankNat_ASIAN,med_bal_rankNat_ASIAN,avg_inc_rankNat_ASIAN,med_inc_rankNat_ASIAN,avg_dti_rankNat_ASIAN,med_dti_rankNat_ASIAN,avg_bal_pctNat_ASIAN,med_bal_pctNat_ASIAN,avg_inc_pctNat_ASIAN,med_inc_pctNat_ASIAN,avg_dti_pctNat_ASIAN,med_dti_pctNat_ASIAN,pct_bal_grt_ASIAN,avg_bal_sh_obal_ASIAN,med_bal_sh_obal_ASIAN,pct_bal_grt_label_ASIAN,avg_bal_sh_obal_label_ASIAN,med_bal_sh_obal_label_ASIAN,pct_bal_grt_rankNat_ASIAN,avg_bal_sh_obal_rankNat_ASIAN,med_bal_sh_obal_rankNat_ASIAN,pct_bal_grt_pctNat_ASIAN,avg_bal_sh_obal_pctNat_ASIAN,med_bal_sh_obal_pctNat_ASIAN,avg_bal_BLACK,med_bal_BLACK,avg_inc_BLACK,med_inc_BLACK,avg_dti_BLACK,med_dti_BLACK,avg_bal_label_BLACK,med_bal_label_BLACK,avg_inc_label_BLACK,med_inc_label_BLACK,avg_bal_rankNat_BLACK,med_bal_rankNat_BLACK,avg_inc_rankNat_BLACK,med_inc_rankNat_BLACK,avg_dti_rankNat_BLACK,med_dti_rankNat_BLACK,avg_bal_pctNat_BLACK,med_bal_pctNat_BLACK,avg_inc_pctNat_BLACK,med_inc_pctNat_BLACK,avg_dti_pctNat_BLACK,med_dti_pctNat_BLACK,pct_bal_grt_BLACK,avg_bal_sh_obal_BLACK,med_bal_sh_obal_BLACK,pct_bal_grt_label_BLACK,avg_bal_sh_obal_label_BLACK,med_bal_sh_obal_label_BLACK,pct_bal_grt_rankNat_BLACK,avg_bal_sh_obal_rankNat_BLACK,med_bal_sh_obal_rankNat_BLACK,pct_bal_grt_pctNat_BLACK,avg_bal_sh_obal_pctNat_BLACK,med_bal_sh_obal_pctNat_BLACK,avg_bal_LATINO,med_bal_LATINO,avg_inc_LATINO,med_inc_LATINO,avg_dti_LATINO,med_dti_LATINO,avg_bal_label_LATINO,med_bal_label_LATINO,avg_inc_label_LATINO,med_inc_label_LATINO,avg_bal_rankNat_LATINO,med_bal_rankNat_LATINO,avg_inc_rankNat_LATINO,med_inc_rankNat_LATINO,avg_dti_rankNat_LATINO,med_dti_rankNat_LATINO,avg_bal_pctNat_LATINO,med_bal_pctNat_LATINO,avg_inc_pctNat_LATINO,med_inc_pctNat_LATINO,avg_dti_pctNat_LATINO,med_dti_pctNat_LATINO,pct_bal_grt_LATINO,avg_bal_sh_obal_LATINO,med_bal_sh_obal_LATINO,pct_bal_grt_label_LATINO,avg_bal_sh_obal_label_LATINO,med_bal_sh_obal_label_LATINO,pct_bal_grt_rankNat_LATINO,avg_bal_sh_obal_rankNat_LATINO,med_bal_sh_obal_rankNat_LATINO,pct_bal_grt_pctNat_LATINO,avg_bal_sh_obal_pctNat_LATINO,med_bal_sh_obal_pctNat_LATINO,avg_bal_NATVAM,med_bal_NATVAM,avg_inc_NATVAM,med_inc_NATVAM,avg_dti_NATVAM,med_dti_NATVAM,avg_bal_label_NATVAM,med_bal_label_NATVAM,avg_inc_label_NATVAM,med_inc_label_NATVAM,avg_bal_rankNat_NATVAM,med_bal_rankNat_NATVAM,avg_inc_rankNat_NATVAM,med_inc_rankNat_NATVAM,avg_dti_rankNat_NATVAM,med_dti_rankNat_NATVAM,avg_bal_pctNat_NATVAM,med_bal_pctNat_NATVAM,avg_inc_pctNat_NATVAM,med_inc_pctNat_NATVAM,avg_dti_pctNat_NATVAM,med_dti_pctNat_NATVAM,pct_bal_grt_NATVAM,avg_bal_sh_obal_NATVAM,med_bal_sh_obal_NATVAM,pct_bal_grt_label_NATVAM,avg_bal_sh_obal_label_NATVAM,med_bal_sh_obal_label_NATVAM,pct_bal_grt_rankNat_NATVAM,avg_bal_sh_obal_rankNat_NATVAM,med_bal_sh_obal_rankNat_NATVAM,pct_bal_grt_pctNat_NATVAM,avg_bal_sh_obal_pctNat_NATVAM,med_bal_sh_obal_pctNat_NATVAM,avg_bal_WHITE,med_bal_WHITE,avg_inc_WHITE,med_inc_WHITE,avg_dti_WHITE,med_dti_WHITE,avg_bal_label_WHITE,med_bal_label_WHITE,avg_inc_label_WHITE,med_inc_label_WHITE,avg_bal_rankNat_WHITE,med_bal_rankNat_WHITE,avg_inc_rankNat_WHITE,med_inc_rankNat_WHITE,avg_dti_rankNat_WHITE,med_dti_rankNat_WHITE,avg_bal_pctNat_WHITE,med_bal_pctNat_WHITE,avg_inc_pctNat_WHITE,med_inc_pctNat_WHITE,avg_dti_pctNat_WHITE,med_dti_pctNat_WHITE,pct_bal_grt_WHITE,avg_bal_sh_obal_WHITE,med_bal_sh_obal_WHITE,pct_bal_grt_label_WHITE,avg_bal_sh_obal_label_WHITE,med_bal_sh_obal_label_WHITE,pct_bal_grt_rankNat_WHITE,avg_bal_sh_obal_rankNat_WHITE,med_bal_sh_obal_rankNat_WHITE,pct_bal_grt_pctNat_WHITE,avg_bal_sh_obal_pctNat_WHITE,med_bal_sh_obal_pctNat_WHITE
SC,34946.6655756223,20523.82,31408.0715281776,30347.1536909127,1.17919009297048,0.669259876418419,"$34,947","$20,524","$31,408","$30,347",13,9,42,42,3,2,76th,84th,21st,21st,96th,98th,0.673063841489008,1.07994567157123,1.0662,67.32%,108.02%,106.59%,5,4,3,92nd,94th,96th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33617.8361074489,21249.24,25076.2315156777,23491.9313796887,1.40577515995278,0.843234687178356,"$33,618","$21,249","$25,076","$23,492",13,6,22,26,5,4,68th,86th,44th,34th,89th,92nd,0.771574614976102,1.13477327987061,1.0936,77.11%,113.52%,109.34%,8,11,7,81st,73rd,84th,25818.2163043478,15402.415,26482.3879731124,25702.5422737333,1.01071592648973,0.617878189524062,"$25,818","$15,402","$26,482","$25,703",21,14,21,25,22,16,48th,66th,48th,38th,46th,61st,0.644628099173554,1.06440626780627,1.065,64.46%,106.48%,106.48%,14,15,7,67th,65th,85th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35591.8623855464,20523.34,33133.5862250003,32174,1.12022559052155,0.630311002617749,"$35,592","$20,523","$33,134","$32,174",13,11,43,43,2,2,76th,80th,17th,17th,98th,98th,0.645223281389729,1.06414647213306,1.058,64.57%,106.37%,105.82%,3,3,2,96th,96th,98th
SD,29435.5509446599,18530.46,34067.5820264872,33480.4075577207,0.924482204330717,0.544309234363307,"$29,436","$18,530","$34,068","$33,480",39,24,33,28,35,20,26th,55th,38th,48th,34th,63rd,0.471117122851687,0.966372332404524,1,47.08%,96.69%,99.99%,48,49,49,9th,7th,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23090.1461111111,10146.815,22898.8051228,23078.0019351239,1.20366918202521,0.462738293672155,"$23,090","$10,147","$22,899","$23,078",5,8,4,4,4,8,63rd,36th,72nd,72nd,72nd,36th,0.527272727272727,0.99352962962963,1.01715,52.69%,99.33%,101.75%,15,14,13,12th,18th,25th,29611.6700820954,18673.255,34146.1738889838,33553,0.922517636074853,0.544660374925835,"$29,612","$18,673","$34,146","$33,553",42,23,38,35,28,13,19th,56th,27th,33rd,47th,76th,0.476228349240014,0.966232689680299,1,47.63%,96.58%,99.99%,45,45,46,13th,13th,11th
TN,32465.0694295284,18546.7,32338.4746843115,31078,1.08676162509357,0.599370177071237,"$32,465","$18,547","$32,338","$31,078",23,23,39,39,14,11,57th,57th,26th,26th,75th,80th,0.636128338501551,1.0557670766368,1.0523,63.58%,105.60%,105.27%,10,12,8,82nd,78th,86th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32625.2504048071,20292.205,26238.6478401676,25259,1.33777536265228,0.798478817932972,"$32,625","$20,292","$26,239","$25,259",17,11,20,22,11,8,57th,73rd,50th,44th,73rd,81st,0.779877928726127,1.13896443336657,1.0955,77.99%,113.85%,109.56%,5,8,5,89th,81st,89th,33297.8164285714,15317.885,27519.2084745254,27302,1.21599119626541,0.58610856957786,"$33,298","$15,318","$27,519","$27,302",6,15,15,12,8,20,87th,64th,64th,71st,82nd,51st,0.694244604316547,1.07317022058824,1.06495,69.41%,107.36%,106.48%,5,14,8,90th,67th,82nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32634.9020106885,18369.525,33700.5652670342,32254,1.03104594573886,0.565719177836969,"$32,635","$18,370","$33,701","$32,254",25,25,41,42,12,10,52nd,52nd,21st,19th,78th,82nd,0.601814841080524,1.03509223745044,1.0377,60.17%,103.51%,103.73%,11,15,12,80th,72nd,78th
TX,29474.8059025909,16030.895,36814.8081203458,34491.1941637777,0.86980173003468,0.476352055745828,"$29,475","$16,031","$36,815","$34,491",38,38,18,19,43,42,28th,28th,67th,65th,19th,21st,0.604576221680382,1.04203719213897,1.038,60.50%,104.17%,103.84%,16,19,18,71st,65th,67th,40577.4633824975,22542.01,47861.975813469,43912.6829217984,0.928668390543292,0.473814964359516,"$40,577","$22,542","$47,862","$43,913",9,11,7,7,15,17,66th,58th,75th,75th,41st,33rd,0.62792166771952,1.06650008600301,1.0512,62.81%,106.70%,105.16%,7,7,8,75th,75th,72nd,29541.513520986,16319.815,30519.9831288977,29604,1.01823978996596,0.573022097478409,"$29,542","$16,320","$30,520","$29,604",25,29,8,9,33,31,36th,26th,81st,78th,15th,21st,0.721750563486101,1.11072204934599,1.078,72.16%,111.10%,107.80%,20,21,22,50th,47th,44th,25003.1020230058,13364.17,28162.2521176684,27052,0.92318831018813,0.51359443491519,"$25,003","$13,364","$28,162","$27,052",23,23,12,14,27,25,43rd,43rd,71st,66th,33rd,38th,0.625560000383726,1.05216940458164,1.0429,62.59%,105.27%,104.28%,18,20,18,57th,52nd,57th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32518.3264342886,18274.49,43279.5991265242,41413.5587839527,0.81005926058155,0.437525519897477,"$32,518","$18,274","$43,280","$41,414",27,28,10,8,47,45,49th,47th,82nd,86th,9th,13th,0.57437818168888,1.02524849414203,1.0276,57.42%,102.52%,102.74%,17,20,17,68th,62nd,68th
UT,26110.9796022808,13035.61,34348.8032009338,33743.032672832,0.794282129770565,0.394863893984736,"$26,111","$13,036","$34,349","$33,743",51,51,30,26,50,51,3rd,3rd,44th,51st,5th,3rd,0.479255976167987,0.9802991408419,1,47.96%,98.01%,99.99%,47,42,49,11th,21st,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21710.945720524,11175.01,29554.875104586,27241.21032067,0.755397986671608,0.399107950770851,"$21,711","$11,175","$29,555","$27,241",30,35,5,13,35,37,25th,12th,89th,69th,12th,7th,0.552479815455594,1.01807353992849,1.0187,55.22%,101.86%,101.86%,33,31,32,20th,25th,22nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26295.9198380567,13121.57,34515.5174515358,33865,0.795729350238475,0.39443078796139,"$26,296","$13,122","$34,516","$33,865",50,51,34,34,49,50,3rd,1st,35th,35th,5th,3rd,0.474227592535944,0.978273011734029,1,47.41%,97.79%,99.99%,46,41,46,11th,21st,11th
VA,37095.1807516072,21489.46,43208.5824039247,39533.4020681265,0.972897047453677,0.525410153988614,"$37,095","$21,489","$43,209","$39,533",6,5,5,6,25,24,90th,92nd,92nd,90th,53rd,55th,0.583578126765337,1.04150870245674,1.0323,58.41%,104.17%,103.18%,23,20,24,57th,63rd,55th,38754.6934113712,21932.64,64360.3628413085,66726.8974731168,0.623288431951495,0.349942581623914,"$38,755","$21,933","$64,360","$66,727",12,12,1,1,24,22,54th,54th,100th,100th,4th,12th,0.489239598278336,0.962923856707317,1.0044,48.95%,96.25%,100.43%,22,24,20,12th,4th,20th,34270.1092934783,20684.285,30037.9130481694,27723.7448676842,1.22849902561644,0.720174803833529,"$34,270","$20,684","$30,038","$27,724",9,8,10,14,22,23,78th,81st,76th,65th,44th,42nd,0.713616594178655,1.1059839068711,1.0794,71.39%,110.55%,107.91%,23,24,20,42nd,39th,50th,34436.5333831991,19780.73,36257.0955503943,36433.6669469607,0.973919413096714,0.54201801943375,"$34,437","$19,781","$36,257","$36,434",5,5,2,2,24,24,89th,89th,97th,97th,41st,41st,0.56642800318218,1.02326140637776,1.0267,56.65%,102.30%,102.63%,27,28,29,35th,32nd,30th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38105.9916945943,21873.895,45973.6761118393,42175,0.924867049786535,0.497567617827157,"$38,106","$21,874","$45,974","$42,175",7,5,5,7,26,28,88th,92nd,92nd,88th,50th,47th,0.556377851151846,1.02969369727692,1.022,55.66%,102.96%,102.19%,24,18,24,54th,66th,54th
VT,34469.3650778008,20479.885,34265.2270699526,34398.4610716315,1.07609108189198,0.603089927574753,"$34,469","$20,480","$34,265","$34,398",17,10,31,20,16,10,69th,82nd,42nd,63rd,71st,82nd,0.452150108360899,0.952088896763525,1,45.21%,95.26%,99.99%,51,51,49,3rd,3rd,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34571.0991257143,20343.775,34265.2270699526,34398.4610716315,1.07609108189198,0.603089927574753,"$34,571","$20,344","$34,265","$34,398",18,14,37,28,5,3,66th,74th,29th,47th,92nd,96th,0.452091595241141,0.94967545045045,1,45.21%,94.93%,99.99%,49,50,46,5th,3rd,11th
WA,31367.11760765,16521.825,41802.688445241,39272,0.813515094520794,0.412850486913289,"$31,367","$16,522","$41,803","$39,272",28,35,6,7,49,49,48th,34th,90th,88th,7th,7th,0.509771584068607,0.987644254116317,1.0077,50.93%,98.78%,100.76%,40,37,40,25th,30th,25th,37999.4234817814,20647.99,43335.9434069826,35090,1.12834037891706,0.572302394822375,"$37,999","$20,648","$43,336","$35,090",13,13,10,12,11,13,50th,50th,62nd,54th,58th,50th,0.50313339301701,0.973235892691952,1.0083,50.27%,97.35%,100.87%,19,22,18,25th,12th,29th,28642.6913076923,17258.71,32270.0149031289,32539.0730352805,0.897951714374159,0.579665869622326,"$28,643","$17,259","$32,270","$32,539",27,26,6,5,36,30,31st,34th,86th,89th,7th,23rd,0.521178637200737,0.986177425373134,1.0043,52.14%,98.67%,100.43%,37,37,37,5th,5th,5th,20535.9355223881,11785.34,25038.0952225328,24530.0370136433,0.829699330530366,0.477561029406576,"$20,536","$11,785","$25,038","$24,530",34,33,29,29,33,33,15th,17th,28th,28th,17th,17th,0.5,0.979285534274194,1.002,50.05%,97.90%,100.21%,38,38,39,7th,7th,5th,21268.3717647059,14075.74,26334.8242305917,26603.9850683842,0.788780653425192,0.549332363645309,"$21,268","$14,076","$26,335","$26,604",8,2,3,3,9,6,36th,90th,81st,81st,27th,54th,0.703703703703704,1.06622037037037,1.06415,70.40%,106.59%,106.37%,7,8,9,62nd,56th,50th,31789.2606087972,16701.87,42423.7296815074,39770,0.807556569466775,0.407659099417367,"$31,789","$16,702","$42,424","$39,770",32,40,11,13,48,47,39th,23rd,80th,76th,7th,9th,0.509918852446945,0.987909913936786,1.008,51.04%,98.78%,100.76%,33,30,34,37th,43rd,35th
WI,30136.3361564305,17842.295,35407.4537278501,35278,0.916734353061717,0.51937435485272,"$30,136","$17,842","$35,407","$35,278",35,28,24,18,38,28,34th,48th,55th,67th,28th,48th,0.494743877138998,0.976417919423593,1.0029,49.50%,97.68%,100.32%,44,46,44,17th,13th,17th,58236.5161538462,26656.71,23784.8318013172,28823.401916732,2.21746749208583,1.39226313798527,"$58,237","$26,657","$23,785","$28,823",2,3,20,17,2,4,95th,91st,20th,33rd,95th,87th,0.588235294117647,1.04038970588235,1.0226,58.85%,104.06%,102.30%,11,9,11,58th,66th,58th,25084.0598414376,16268.24,22973.1060547868,22861,1.13110847904636,0.727160373107784,"$25,084","$16,268","$22,973","$22,861",31,30,30,28,28,22,21st,23rd,23rd,28th,28th,44th,0.755856683509417,1.13392795321637,1.0916,75.57%,113.41%,109.12%,13,12,12,68th,71st,71st,27548.9965938865,15972.63,24846.6974440994,23958,1.1094747895432,0.685096471244595,"$27,549","$15,973","$24,847","$23,958",14,13,30,31,17,8,66th,69th,25th,23rd,58th,82nd,0.603267211201867,1.01833440094899,1.0293,60.28%,101.86%,102.96%,23,30,28,45th,27th,32nd,,,,,,,,,,,,,,,,,,,,,,,1,1.27958421052632,1.173,99.99%,127.93%,117.26%,2,1,2,96th,100th,93rd,30821.0708763466,18207.63,36356.0328410005,35643.6365171724,0.899208879435272,0.507796323771843,"$30,821","$18,208","$36,356","$35,644",37,29,25,23,36,23,29th,45th,52nd,56th,31st,56th,0.477372559440997,0.965586706227626,1,47.74%,96.58%,99.99%,43,46,46,17th,11th,11th
WV,29395.9928433573,16679.9,28343.5556061174,27925,1.13909369266798,0.633634701092901,"$29,396","$16,680","$28,344","$27,925",40,33,49,49,6,3,25th,38th,7th,7th,90th,96th,0.624893932965634,1.048475674946,1.0431,62.48%,104.83%,104.28%,11,14,14,80th,75th,75th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20639.39,17444.48,18053,18053,1.14326649310364,0.966292582950201,"$20,639","$17,444","$18,053","$18,053",36,24,37,37,27,2,7th,39th,5th,5th,31st,97th,0.777777777777778,1.21187777777778,1.06525,77.77%,121.22%,106.48%,6,1,29,86th,100th,26th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30058.0438875124,17132.155,28358.853756176,27967.0002611904,1.13908748929766,0.633368856072747,"$30,058","$17,132","$28,359","$27,967",40,35,51,50,1,1,23rd,33rd,1st,3rd,100th,100th,0.626926432102355,1.04925341379718,1.0454,62.70%,104.94%,104.50%,8,7,8,86th,88th,86th
WY,25581.2475092251,13076.675,34830.9311346849,33321.4163919674,0.773988253256704,0.402758076438927,"$25,581","$13,077","$34,831","$33,321",52,50,27,30,52,50,1st,5th,50th,44th,1st,5th,0.510728542914172,0.978179426816786,1.008,51.04%,97.79%,100.76%,39,45,39,26th,15th,26th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26024.7876349362,13218.04,34862.8642164505,33321.4163919674,0.775098645718667,0.4036925857259,"$26,025","$13,218","$34,863","$33,321",51,50,33,36,50,49,1st,3rd,37th,31st,3rd,5th,0.514678656440095,0.978916436501489,1.0094,51.48%,97.9%,100.98%,31,40,33,41st,23rd,37th
