MAPNAME,LATITUDE,LONGITUD,ICLEVEL,CONTROL,Degree-seeking Undergraduates,Graduate Students,Tuition & Fees
Central Alabama Community College -Alexander City Campus,32.931757,-85.949385,2,1,322,,4920
Central Alabama Community College -Childersburg Campus,33.278206,-86.359813,2,1,322,,4920
Central Alabama Community College -Prattville Campus,32.504842,-86.431238,2,1,322,,4920
Central Alabama Community College -Talladega Center,33.420481,-86.100849,2,1,322,,4920
Enterprise State Community College -Enterprise,31.297701,-85.842453,2,1,855,,4860
"Enterprise State Community College -Ozark,",31.484559,-85.686047,2,1,855,,4860
Gadsden State Community College - Ayers Campus,33.624092,-85.803339,2,1,959,,5248
Gadsden State Community College - East Broad Campus,33.998922,-85.987771,2,1,959,,5248
Gadsden State Community College - Valley Street Campus,34.026104,-85.994613,2,1,959,,5248
Gadsden State Community College - Wallace Drive Campus,33.997425,-85.991335,2,1,959,,5248
Gadsden State Community College - Cherokee Campus,34.163571,-85.663854,2,1,959,,5248
Jefferson State Community College - Chilton-Clanton Campus,32.868573,-86.621475,2,1,2100,,4920
Jefferson State Community College - Shelby-Hoover Campus,33.385526,-86.73354,2,1,2100,,4920
Jefferson State Community College - St. Clair-Pell City Campus,33.592484,-86.325995,2,1,2100,,4920
Jefferson State Community College - Jefferson Campus,33.653453,-86.707008,2,1,2100,,4920
John C Calhoun State Community College - Decatur Campus,34.648532,-86.950281,2,1,4404,,4940
John C Calhoun State Community College - Huntsville Campus,34.715667,-86.655764,2,1,4404,,4940
Troy University - Main Campus,31.797823,-85.952874,1,1,3676,1378,9312
Troy University - Montgomery Campus,32.37623,-86.310726,1,1,3676,1378,9312
Troy University - Phenix City Campus,32.495317,-85.024588,1,1,3676,1378,9312
Troy University - Main Campus,31.148124,-85.371845,1,1,3676,1378,9312
University of Alaska-Anchorage,61.190647,-149.818152,1,1,1989,173,8750
University of Alaska -Kenai River Campus,60.486115,-151.127993,1,1,1989,173,8750
University of Alaska -KODIAK COLLEGE,57.806866,-152.366182,1,1,1989,173,8750
University of Alaska -Mat-Su College,61.579472,-149.240474,1,1,1989,173,8750
University of Alaska -Prince William Sound College,61.134073,-146.356421,1,1,1989,173,8750
Arizona State University Campus Immersion - Polytechnic,33.307073,-111.680435,1,1,13581,2777,11348
Arizona State University Campus Immersion - Tempe (Main) Campus,33.401395,-111.931298,1,1,13581,2777,11348
Arizona State University Campus Immersion - West,33.607333,-112.159897,1,1,13581,2777,11348
Arizona State University Campus Immersion - Lake Havasu,34.472673,-114.322223,1,1,13581,2777,11348
Arizona State University Campus Immersion - Downtown Phoenix,33.452998,-112.073225,1,1,13581,2777,11348
Arizona Western College - Main,32.691174,-114.62926,2,1,2094,,2700
Arizona Western College - San Luis Learning Center,32.224806,-110.951337,2,1,2094,,2700
Arizona Western College - Parker Learning Center,34.15052,-114.285589,2,1,2094,,2700
Arizona Western College - Quartzite Learning Center,33.67462,-114.234074,2,1,2094,,2700
University of Arizona - Sierra Vista,31.567474,-110.245391,1,1,4824,1496,12404
University of Arizona - Douglas,31.365493,-109.689354,1,1,4824,1496,12404
University of Arizona -Tucson Pima East,32.89618,-109.82758,1,1,4824,1496,12404
University of Arizona - Tucson Pima Desert Vista,32.145122,-110.989257,1,1,4824,1496,12404
University of Arizona - Chandler,33.303087,-111.839058,1,1,4824,1496,12404
University of Arizona -Nogales,31.368457,-110.93235,1,1,4824,1496,12404
University of Arizona -Yuma,32.68432,-114.497852,1,1,4824,1496,12404
University of Arizona -Gilbert,33.356618,-111.792255,1,1,4824,1496,12404
Central Arizona College - San Tan Campus,33.165055,-111.524052,2,1,1251,,2580
Central Arizona College - Signal Peak Campus,32.952981,-111.652954,2,1,1251,,2580
Central Arizona College - Aravaipa Campus,32.84875,-110.703064,2,1,1251,,2580
Central Arizona College - Maricopa Campus,33.042415,-112.003381,2,1,1251,,2580
Central Arizona College - Superstition Mountain Campus,33.410208,-111.543119,2,1,1251,,2580
Cochise County Community College District - Douglas Campus,31.365493,-109.689354,2,1,4579,,2184
Cochise County Community College District - Sierra Vista Campus,31.563152,-110.247369,2,1,4579,,2184
Eastern Arizona College - Thatcher Campus,32.84344,-109.762901,2,1,2058,,2160
Eastern Arizona College - Discovery Park Campus,32.802195,-109.728311,2,1,2058,,2160
Glendale Community College - North Campus,33.709731,-112.186915,2,1,7242,,2070
Glendale Community College - Main Campus,33.568837,-112.190886,2,1,7242,,2070
Grand Canyon University - Phoenix Main campus,33.513085,-112.129939,1,3,18438,12385,17189
Grand Canyon University - West Phoenix,33.60559,-112.284817,1,3,18438,12385,17189
Grand Canyon University - Tuscan,32.270989,-110.943243,1,3,18438,12385,17189
Grand Canyon University - Nevada,36.022396,-115.096502,1,3,18438,12385,17189
Grand Canyon University -Utah,40.571991,-111.893917,1,3,18438,12385,17189
GateWay Community College - Washington Campus,33.451215,-111.995464,2,1,1330,,2070
GateWay Community College - Deer Valley Campus,33.638628,-112.122872,2,1,1330,,2070
GateWay Community College - Central City Campus,33.435571,-112.05539,2,1,1330,,2070
GateWay Community College - 18th St Campus,33.453282,-112.042288,2,1,1330,,2070
Mesa Community College - Southern and Dobson Campus,33.39283,-111.871537,2,1,8648,,2070
Mesa Community College - Red Mountain Campus,33.451724,-111.677552,2,1,8648,,2070
Northern Arizona University - Flagstaff maincampus,35.195223,-111.65377,1,1,1093,212,11527
Northern Arizona University -Coconino Community College,35.16951,-111.647755,1,1,1093,212,11527
Northern Arizona University -Mohave Community College,35.268647,-114.03049,1,1,1093,212,11527
Northern Arizona University - Yavapai,34.594968,-112.335044,1,1,1093,212,11527
Northern Arizona University -Dine College,33.834657,-109.149078,1,1,1093,212,11527
Northern Arizona University -Navajo-Hopi,35.741284,-109.070897,1,1,1093,212,11527
Northern Arizona University -Northland Pioneer College,34.244734,-110.052889,1,1,1093,212,11527
Northern Arizona University - Yavapai College,34.545482,-112.455544,1,1,1093,212,11527
Northern Arizona University -Central Arizona College,32.952981,-111.652954,1,1,1093,212,11527
Northern Arizona University - North Valley,33.626118,-112.118179,1,1,1093,212,11527
Northern Arizona University -Phoenix Biomedical Campus,33.452781,-112.067328,1,1,1093,212,11527
Northern Arizona University -Chandler-Gilbert Community College,33.293619,-111.796164,1,1,1093,212,11527
Northern Arizona University -Estrella Mountain Community College,33.481697,-112.344656,1,1,1093,212,11527
Northern Arizona University -GateWay Community College,33.451215,-111.995464,1,1,1093,212,11527
Northern Arizona University - Glendale Community College,33.568837,-112.190886,1,1,1093,212,11527
Northern Arizona University -Mesa Community College,33.39283,-111.871537,1,1,1093,212,11527
Northern Arizona University - Paradise Valley Community College,33.653259,-112.010682,1,1,1093,212,11527
Northern Arizona University -Phoenix College,33.483161,-112.090217,1,1,1093,212,11527
Northern Arizona University - Rio Salado College,33.41345,-111.975603,1,1,1093,212,11527
Northern Arizona University - Scottsdale Community College,33.509451,-111.881101,1,1,1093,212,11527
Northern Arizona University -South Mountain Community College,33.382499,-112.034558,1,1,1093,212,11527
Northern Arizona University - Cochise College,31.563152,-110.247369,1,1,1093,212,11527
Northern Arizona University -Eastern Arizona College,32.84344,-109.762901,1,1,1093,212,11527
Northern Arizona University -Pima Community College - West,32.227697,-111.016644,1,1,1093,212,11527
Northern Arizona University -Yuma,32.690792,-114.634412,1,1,1093,212,11527
Northland Pioneer College - Holbrook - Painted Desert Campus,34.927544,-110.142292,2,1,426,,2428
Northland Pioneer College - Winslow - Little Colorado Campus,35.01911,-110.684553,2,1,426,,2428
Northland Pioneer College - Show Low - White Mountain Campus,34.244734,-110.052889,2,1,426,,2428
Northland Pioneer College - Snowflake/Taylor - Silver Creek Campus,34.486572,-110.080899,2,1,426,,2428
Pima Community College - Desert Vista Campus,32.145122,-110.989257,2,1,4316,,2250
Pima Community College - East Campus,32.165665,-110.817733,2,1,4316,,2250
Pima Community College - West Campus,32.227697,-111.016644,2,1,4316,,2250
Pima Community College - Downtown Campus,32.237683,-110.972878,2,1,4316,,2250
Pima Community College - Northwest Campus,32.344701,-111.027924,2,1,4316,,2250
Rio Salado College,33.41345,-111.975603,2,1,1234,,2070
Rio Salado College - Avondale Campus,33.439254,-112.350233,2,1,1234,,2070
Rio Salado College - Surprise Campus,33.637144,-112.330209,2,1,1234,,2070
Rio Salado College - Thomas Campus,33.479967,-112.138214,2,1,1234,,2070
Rio Salado College - Southern Campus,33.391938,-111.894045,2,1,1234,,2070
Rio Salado College - Downtown Campus,33.455247,-112.08242,2,1,1234,,2070
Rio Salado College - Northern Campus,33.552504,-112.097143,2,1,1234,,2070
South Mountain Community College - Main Campus,33.382499,-112.034558,2,1,1546,,2070
Yavapai College - Prescott Campus,34.545482,-112.455544,2,1,1295,,2600
Yavapai College - Verde Valley Campus,34.739505,-112.056772,2,1,1295,,2600
Yavapai College - Chino Valley Center,34.786898,-112.41248,2,1,1295,,2600
Yavapai College - Prescott Valley Center,34.598025,-112.341952,2,1,1295,,2600
University of Arkansas -Fayetteville,36.063075,-94.168223,1,1,8038,1852,9574
University of Arkansas -Crossett,33.17364,-91.917208,1,1,8038,1852,9574
University of Arkansas -Grantham,34.776032,-92.343653,1,1,8038,1852,9574
Arkansas Tech University -Ozark,35.496627,-93.843111,1,1,4089,506,7900
Arkansas Tech University -Russellville,35.293682,-93.135949,1,1,4089,506,7900
Phillips Community College of the University of Arkansas: DeWitt,34.27239,-91.348514,2,1,258,,3410
Phillips Community College of the University of Arkansas: Helena-West Helena,34.546412,-90.617705,2,1,258,,3410
Phillips Community College of the University of Arkansas: Stuttgart,34.473015,-91.539678,2,1,258,,3410
University of Arkansas-Pulaski Technical College - Main Campus,34.783253,-92.285504,2,1,2917,,5670
University of Arkansas-Pulaski Technical College - Little Rock-South Campus,34.642026,-92.441631,2,1,2917,,5670
University of Arkansas Hope-Texarkana,33.431043,-93.876485,2,1,588,,3340
University of Arkansas Hope-Texarkana,33.642724,-93.593648,2,1,588,,3340
University of Arkansas Community College Rich Mountain,34.591194,-94.220169,2,1,332,,3576
University of Arkansas -Community College at Rich Mountain,34.896824,-94.096084,2,1,332,,3576
Allan Hancock College - Santa Maria Campus,34.943851,-120.421482,2,1,5393,,1146
Allan Hancock College - Lompoc Valley Center,34.681375,-120.463608,2,1,5393,,1146
American River College - Main Campus,38.648095,-121.348141,2,1,17266,,1288
American River College - Natomas Center,38.656973,-121.516915,2,1,17266,,1288
Bakersfield College - Panorama Campus (Main),35.408263,-118.972043,1,1,8769,,1430
Bakersfield College - Delano Campus,35.774903,-119.269651,1,1,8769,,1430
Bakersfield College - BC SouthWest,35.343244,-119.106907,1,1,8769,,1430
Butte College - Chico Campus,39.717653,-121.800884,2,1,5764,,1368
Butte College - Main Campus,39.650281,-121.644816,2,1,5764,,1368
California Lutheran University -Thousand Oaks Campus,34.222027,-118.881869,1,2,619,314,45982
California Lutheran University -Oxnard,34.218673,-119.149284,1,2,619,314,45982
California Lutheran University -Westlake,34.145003,-118.805604,1,2,619,314,45982
California Lutheran University -Pacific Lutheran Theological Seminary,37.869816,-122.270567,1,2,619,314,45982
California Lutheran University -Santa Maria,34.945344,-120.430068,1,2,619,314,45982
Alliant International University -Fresno,36.765498,-119.720539,1,3,78,650,16631
Alliant International University -Irvine,33.719638,-117.798131,1,3,78,650,16631
Alliant International University - Los Angeles,34.084211,-118.151894,1,3,78,650,16631
Alliant International University -Sacramento,38.613556,-121.509338,1,3,78,650,16631
Alliant International University -San Diego,32.897657,-117.093601,1,3,78,650,16631
Alliant International University -Emeryville,37.847315,-122.29403,1,3,78,650,16631
College of the Canyons - Valencia,34.440891,-118.501748,2,1,13836,,1146
College of the Canyons - Canyon Country,34.520206,-118.304023,2,1,13836,,1146
Cerro Coso Community College - Ridgecrest / Indian Wells Valley (IWV) Campus,35.578984,-117.670083,2,1,1568,,1384
Cerro Coso Community College - Lake Isabella Kern River Valley Campus,35.616765,-118.478131,2,1,1568,,1384
Cerro Coso Community College - Mammoth Lakes Campus,37.639075,-118.958368,2,1,1568,,1384
Cerro Coso Community College - Tehachapi Campus,35.130779,-118.438513,2,1,1568,,1384
Chaffey College - Fontana Campus,34.091352,-117.437332,2,1,7665,,1184
Chaffey College - Rancho Cucamonga Campus,34.147008,-117.57034,2,1,7665,,1184
Chaffey College - Chino Campus,34.015289,-117.689674,2,1,7665,,1184
City College of San Francisco - Ocean Campus,37.725742,-122.44987,2,1,5037,,1168
City College of San Francisco - Downtown Center,37.78458,-122.404625,2,1,5037,,1168
City College of San Francisco - Mission Center,37.754734,-122.420746,2,1,5037,,1168
City College of San Francisco - Evans Center,37.74156,-122.38458,2,1,5037,,1168
City College of San Francisco - John Adams Center,37.77402,-122.44718,2,1,5037,,1168
Coastline Community College - Garden Grove Campus,33.775453,-117.939256,2,1,4680,,1170
Coastline Community College - Westminster - Le-Jao Campus,33.756399,-117.984865,2,1,4680,,1170
Coastline Community College - Newport Beach campus,33.629398,-117.936293,2,1,4680,,1170
Cosumnes River College - Main Campus,38.452769,-121.422312,2,1,10296,,1288
Cosumnes River College - Elk Grove Center,38.392118,-121.398087,2,1,10296,,1288
Cuesta College - San Luis Obispo Campus,35.388189,-120.448897,2,1,5399,,1338
Cuesta College - North County Campus,35.64973,-120.669382,2,1,5399,,1338
College of the Desert - Palm Desert Campus,33.401682,-116.042817,2,1,2513,,1326
College of the Desert - Indio Campus,33.717933,-116.220471,2,1,2513,,1326
College of the Desert - Mecca/Thermal Campus,33.605017,-116.094864,2,1,2513,,1326
College of the Desert - Desert Hot Springs,33.963759,-116.510814,2,1,2513,,1326
College of the Desert - Palm Springs,33.819661,-116.532547,2,1,2513,,1326
Diablo Valley College - Pleasant Hill Campus,37.968717,-122.070393,2,1,11853,,1312
Diablo Valley College - San Ramon Campus,37.762419,-121.907093,2,1,11853,,1312
Foothill College - Sunnyvale,37.40421,-122.02968,1,1,11655,,1565
Foothill College - Main Campus,37.35812,-122.127731,1,1,11655,,1565
Fresno Pacific University -Main campus,36.725656,-119.734747,1,2,583,290,33452
Fresno Pacific University -Bakersfield,35.341246,-119.09742,1,2,583,290,33452
Fresno Pacific University -Merced,37.326906,-120.469627,1,2,583,290,33452
Fresno Pacific University -North Fresno,36.859829,-119.784095,1,2,583,290,33452
Fresno Pacific University -Visalia,36.331506,-119.393819,1,2,583,290,33452
Gavilan College - Gilroy (Main) Campus,36.971027,-121.568602,2,1,2996,,1166
Gavilan College - Hollister Briggs,36.852287,-121.402324,2,1,2996,,1166
Glendale Community College - Garfield Campus,34.135692,-118.240695,2,1,7952,,1171
Glendale Community College - Verdugo (Main) Campus,34.167768,-118.229477,2,1,7952,,1171
Hartnell College - Alisal Campus,36.670937,-121.605432,2,1,5231,,1400
Hartnell College - Main Campus,36.674898,-121.666079,2,1,5231,,1400
Long Beach City College - Pacific Coast Campus,33.791117,-118.174634,2,1,15022,,1556
Long Beach City College - Liberal Arts Campus,33.834305,-118.135638,2,1,15022,,1556
Los Angeles Mission College - Main Campus,34.314505,-118.420067,2,1,6022,,1238
Los Angeles Mission College - East Campus,34.308464,-118.413169,2,1,6022,,1238
Los Medanos College - Pittsburg Campus,38.005132,-121.861168,2,1,5168,,1312
Los Medanos College - Brentwood Campus,37.896717,-121.71963,2,1,5168,,1312
Loyola Marymount University -WESTCHESTER MAIN CAMPUS,34.099985,-117.775951,1,2,3520,1694,53051
Loyola Marymount University -PLAYA VISTA CAMPUS,33.98095,-118.40764,1,2,3520,1694,53051
Merced College - Main Campus,37.335382,-120.474425,2,1,6074,,1180
Merced College - Los Banos Campus,37.058037,-120.894198,2,1,6074,,1180
MiraCosta College - Oceanside Campus,33.188455,-117.298973,1,1,8382,,1152
MiraCosta College - San Elijo Campus,38.950236,-123.661507,1,1,8382,,1152
Modesto Junior College - East Campus,37.651047,-121.009743,1,1,10706,,1274
Modesto Junior College - West Campus,37.66223,-121.037368,1,1,10706,,1274
Mt San Jacinto Community College District - San Jacinto Campus,33.805786,-116.972081,2,1,4288,,1406
Mt San Jacinto Community College District - Menifee Valley Campus,33.675454,-117.166805,2,1,4288,,1406
Mt San Jacinto Community College District - Temecula Valley Campus,33.517234,-117.152018,2,1,4288,,1406
Mt San Jacinto Community College District - San Gogonio Pass Campus,33.917544,-116.911306,2,1,4288,,1406
Napa Valley College - Main Campus,38.27388,-122.274758,2,1,3002,,1150
"National University - La Jolla, California Academic Headquarters",32.896502,-117.242644,1,2,2147,2610,13320
"National University - Kearny Mesa, California Campus",32.808996,-117.149115,1,2,2147,2610,13320
"National University - Rancho Bernardo, California Campus",33.019339,-117.08026,1,2,2147,2610,13320
National University - Spectrum Business Park Campus,32.829409,-117.127745,1,2,2147,2610,13320
"National University - La Mesa, California Campus",32.772878,-117.036547,1,2,2147,2610,13320
"National University - Chula Vista, California Campus",32.62355,-117.095105,1,2,2147,2610,13320
Ohlone College - Newark Campus,37.520459,-122.009307,2,1,6812,,1196
Ohlone College - Fremont Campus,37.527638,-121.91628,2,1,6812,,1196
University of the Pacific -Stockton Campus,37.980633,-121.311046,1,2,1223,988,52352
University of the Pacific -Sacramento Campus,38.549169,-121.473432,1,2,1223,988,52352
University of the Pacific -San Francisco Campus,37.782394,-122.4052,1,2,1223,988,52352
Palomar College - Ramona Community Campus,33.026737,-116.87829,2,1,6417,,1344
Palomar College - San Marcos (Main )Campus,33.152442,-117.178775,2,1,6417,,1344
Palomar College - Fallbrook Education Center,33.34632,-117.154528,2,1,6417,,1344
Palomar College - Rancho Bernardo Education Center,33.023232,-117.089541,2,1,6417,,1344
Pasadena City College - PCC at Rosemead,34.081939,-118.073703,2,1,8247,,1212
Pasadena City College - Foothill Campus,34.15087,-118.086237,2,1,8247,,1212
Pasadena City College - PCC Northwest,34.179656,-118.163619,2,1,8247,,1212
Pasadena City College - Colorado Campus,34.142718,-118.116493,2,1,8247,,1212
Point Loma Nazarene University -Main campus,32.717609,-117.250353,1,2,858,477,39500
Point Loma Nazarene University -Mission Valley Regional Center,32.777476,-117.108174,1,2,858,477,39500
Point Loma Nazarene University -Bakersfield Regional Center,35.361814,-119.060421,1,2,858,477,39500
Point Loma Nazarene University -Balboa Regional Center,32.821672,-117.135362,1,2,858,477,39500
Santa Ana College - Santa Ana College,33.759909,-117.889805,1,1,15534,,1180
Santa Ana College - School of Continuing Education,33.727471,-117.908363,1,1,15534,,1180
University of Redlands -Campus locations,34.064619,-117.163829,1,2,503,341,52500
University of Redlands -Marin Campus,37.969609,-122.564982,1,2,503,341,52500
University of Redlands -Rancho Cucamonga Regional Campus,34.078481,-117.576269,1,2,503,341,52500
University of Redlands -Redlands Campus,34.064619,-117.163829,1,2,503,341,52500
University of Redlands -Riverside Regional Campus,33.953332,-117.39169,1,2,503,341,52500
University of Redlands -Regional Campus,32.770627,-117.143231,1,2,503,341,52500
College of the Redwoods - Eureka Campus,40.69825,-124.199516,2,1,1516,,1147
College of the Redwoods - Del Norte,41.772897,-124.212609,2,1,1516,,1147
College of the Redwoods - Klamath-Trinity,41.048377,-123.678372,2,1,1516,,1147
University of San Francisco -Main campus,37.77529,-122.45173,1,2,1619,1261,53472
University of San Francisco -Sacramento,38.580345,-121.506486,1,2,1619,1261,53472
University of San Francisco -Santa Rosa,38.455034,-122.718771,1,2,1619,1261,53472
University of San Francisco -San Jose,37.314618,-121.927403,1,2,1619,1261,53472
San Joaquin Delta College - South Campus at Mountain House,37.74822,-121.553853,2,1,7246,,1288
San Joaquin Delta College - Stockton (Main) Campus,37.995349,-121.319351,2,1,7246,,1288
San Joaquin Delta College - Lodi Satellite Campus,38.133094,-121.291973,2,1,7246,,1288
Santa Barbara City College - Schott Campus,34.428451,-119.720455,2,1,5369,,1232
Santa Barbara City College - Wake Campus,34.444981,-119.787633,2,1,5369,,1232
Santa Barbara City College - Main Campus,34.406391,-119.697268,2,1,5369,,1232
Santa Monica College - Main Campus,34.018767,-118.470401,1,1,6584,,1146
Santa Monica College - Bundy Campus,34.01651,-118.44357,1,1,6584,,1146
Santa Monica College - Airport Arts Campus,34.009946,-118.455847,1,1,6584,,1146
Santa Monica College - Emeritus Campus,34.01716,-118.499176,1,1,6584,,1146
Santa Monica College - Malibu Campus,34.035354,-118.693403,1,1,6584,,1146
Santa Rosa Junior College - Santa Rosa,38.455034,-122.718771,2,1,6819,,1328
Santa Rosa Junior College - Petaluma Campus,38.267027,-122.63651,2,1,6819,,1328
Santa Rosa Junior College - Shone Farm,38.50242,-122.872011,2,1,6819,,1328
College of the Sequoias - Visalia Campus,36.33775,-119.313986,2,1,4243,,1394
College of the Sequoias - Hanford Educational Center,36.333804,-119.687594,2,1,4243,,1394
College of the Sequoias - Tulare College Center,36.196782,-119.322136,2,1,4243,,1394
Shasta College - Redding Main Campus,40.625501,-122.318028,1,1,1656,,1189
Shasta College - Downtown Redding Campus,40.584915,-122.391512,1,1,1656,,1189
Shasta College - Tehama Campus,40.1575,-122.21833,1,1,1656,,1189
Shasta College - Trinity Campus,40.710956,-122.924662,1,1,1656,,1189
Shasta College - Intermountain Campus,40.884813,-121.649052,1,1,1656,,1189
Sierra College - Rocklin Campus,38.79068,-121.2112,2,1,5107,,1156
Sierra College - Nevada County Campus,39.236265,-121.050216,2,1,5107,,1156
Sierra College - Roseville Center,38.7489,-121.284719,2,1,5107,,1156
Sierra College - Tahoe-Truckee Campus,39.32098,-120.203008,2,1,5107,,1156
Solano Community College - Fairfield Campus,38.235744,-122.122705,1,1,2753,,1163
Solano Community College - Travis AFB,38.268208,-121.945186,1,1,2753,,1163
Solano Community College - Vacaville Center,38.333133,-121.920151,1,1,2753,,1163
Solano Community College - Vallejo Canter,38.135314,-122.203634,1,1,2753,,1163
Southwestern College - Chula Vista Campus,32.640533,-116.998371,2,1,5201,,1342
Southwestern College - National City Center,32.675071,-117.10678,2,1,5201,,1342
Southwestern College - Otay Mesa Center,32.563343,-116.966304,2,1,5201,,1342
Southwestern College - San Ysidro Center,32.555973,-117.054965,2,1,5201,,1342
Ventura College - Main Campus,34.275817,-119.23053,2,1,8020,,1394
Ventura College - East Campus,34.335159,-119.086997,2,1,8020,,1394
Yuba College - Sutter County Campus,39.17547,-121.634537,2,1,3492,,1128
Yuba College - Main Campus,39.126567,-121.539625,2,1,3492,,1128
Arapahoe Community College - Littleton Campus,39.608433,-105.019094,1,1,2723,,4080
Arapahoe Community College - DCSD Legacy Campus,39.533856,-104.848005,1,1,2723,,4080
Arapahoe Community College - Sturm Collaboration Campus,39.409001,-104.886418,1,1,2723,,4080
Colorado Christian University -,39.712168,-105.094852,1,2,3673,849,25473
Colorado Christian University -Colorado Springs,38.948743,-104.807468,1,2,3673,849,25473
Colorado Mountain College - CMC Salida,38.537281,-105.991016,1,1,390,,4860
Colorado Mountain College - Aspen,39.22348,-106.863891,1,1,390,,4860
Colorado Mountain College - Leadville,39.251788,-106.290577,1,1,390,,4860
Colorado Mountain College - Carbondale,39.40149,-107.214056,1,1,390,,4860
Colorado Mountain College - Breckenridge,39.513988,-106.051081,1,1,390,,4860
Colorado Mountain College - Rifle,39.522557,-107.768789,1,1,390,,4860
Colorado Mountain College - Glenwood Springs,39.538875,-107.322064,1,1,390,,4860
Colorado Mountain College - Dillon,39.62771,-106.044437,1,1,390,,4860
Colorado Mountain College - Vail Valley at Edwards,39.645918,-106.587768,1,1,390,,4860
Colorado Mountain College - Steamboat Springs,40.490253,-106.839056,1,1,390,,4860
Colorado Mountain College - Spring Valley,39.470081,-107.249144,1,1,390,,4860
Colorado Technical University - Denver South,39.659523,-104.838657,1,3,22144,2724,12581
Colorado Technical University - Colorado Springs (Main) Campus,38.895417,-104.856774,1,3,22144,2724,12581
Community College of Aurora - CentreTech Campus,39.717889,-104.802707,2,1,2560,,3947
Community College of Aurora - Lowry Campus,39.727442,-104.879083,2,1,2560,,3947
Front Range Community College - Boulder County Campus,40.138539,-105.130081,1,1,6108,,4032
Front Range Community College - Larimer Campus,40.522388,-105.09323,1,1,6108,,4032
Front Range Community College - Westminster Campus,39.90148,-105.037594,1,1,6108,,4032
Pikes Peak Community College - Centennial (Main) Campus,38.761999,-104.783605,1,1,4175,,3981
Pikes Peak Community College - Rampart Range Campus,38.992733,-104.788961,1,1,4175,,3981
Pikes Peak Community College - Downtown Studio Campus,38.835496,-104.827199,1,1,4175,,3981
Pueblo Community College - Durango High School Campus,37.224432,-107.59977,1,1,894,,4536
Pueblo Community College - Mancos Campus,37.351978,-108.444344,1,1,894,,4536
Pueblo Community College - Pueblo Campus,38.262262,-104.637513,1,1,894,,4536
Pueblo Community College - Bayfield Site,37.224053,-107.598316,1,1,894,,4536
Red Rocks Community College - Lakewood Campus,39.720218,-105.149868,1,1,3688,49,4389
Red Rocks Community College - Arvada Campus,39.795406,-105.11304,1,1,3688,49,4389
Post University -Waterbury Campus,41.535424,-73.081523,1,3,13466,1012,15458
Post University - Downtown,41.554001,-73.041152,1,3,13466,1012,15458
Gateway Community College - Washington Campus,33.451215,-111.995464,2,1,3483,,4496
Gateway Community College - Central City,33.435571,-112.05539,2,1,3483,,4496
Delaware Technical Community College-Terry - Stanton Campus,39.689534,-75.64841,1,1,4454,,4945
Delaware Technical Community College-Terry - Wilmington Campus,39.740308,-75.552688,1,1,4454,,4945
Delaware Technical Community College-Terry - Dover Campus,39.06963,-75.555075,1,1,4454,,4945
Delaware Technical Community College-Terry - Georgetown Campus,38.697121,-75.406149,1,1,4454,,4945
University of Delaware- Newark Main Campus,39.68045,-75.763471,1,1,9727,2486,15020
University of Delaware- Lewes Campus,38.787598,-75.160663,1,1,9727,2486,15020
Wilmington University -New Castle,39.682628,-75.586736,1,2,1148,738,11760
Wilmington University -Brandywine,39.827606,-75.546741,1,2,1148,738,11760
Wilmington University -Dover,39.199463,-75.552691,1,2,1148,738,11760
Wilmington University -Dover AFB,39.071121,-75.732613,1,2,1148,738,11760
Wilmington University -Georgetown,38.696994,-75.411563,1,2,1148,738,11760
Wilmington University -Burlington,39.968892,-74.897495,1,2,1148,738,11760
Wilmington University -Camden,39.946676,-75.118026,1,2,1148,738,11760
Wilmington University -Cumberland,39.441079,-75.056408,1,2,1148,738,11760
Wilmington University -Gloucester,39.781,-75.119971,1,2,1148,738,11760
Wilmington University -Mercer,40.253434,-74.652298,1,2,1148,738,11760
George Washington University - Foggy bottom campus,38.900346,-76.974429,1,2,3969,5821,57984
George Washington University - Moun vernon campuses,38.918283,-77.090145,1,2,3969,5821,57984
George Washington University -Virginia Science & Technology Campus,39.058081,-77.443533,1,2,3969,5821,57984
Eastern Florida State College - Cocoa Campus,28.384445,-80.758446,1,1,3552,,2791
Eastern Florida State College - Melbourne Campus,28.16768,-80.67185,1,1,3552,,2791
Eastern Florida State College - Palm Bay Campus,27.994553,-80.631289,1,1,3552,,2791
Eastern Florida State College - Titusville Campus,28.600582,-80.807486,1,1,3552,,2791
Broward College - Pines CeÃ¢â‚¬â€¹nter,26.02944,-80.374273,1,1,7904,,2830
Broward College - Main Campus,26.119615,-80.141866,1,1,7904,,2830
Broward College - A. Hugh Adams Central Campus,26.079035,-80.234014,1,1,7904,,2830
Broward College - Judson A. Samuels South Campus,26.00936,-80.23456,1,1,7904,,2830
Broward College - North Campus,26.661037,-81.91724,1,1,7904,,2830
College of Central Florida - Citrus Campus,28.80875,-82.489342,1,1,1398,,2710
College of Central Florida - Levy Campus,29.553684,-82.901044,1,1,1398,,2710
College of Central Florida - Ocala Campus,29.163192,-82.172221,1,1,1398,,2710
College of Central Florida - Vintage Farm Campus,29.147949,-82.13527,1,1,1398,,2710
College of Central Florida - Hampton Center,29.186963,-82.152105,1,1,1398,,2710
University of Central Florida - Main campus,28.596772,-81.203432,1,1,17627,3198,6368
University of Central Florida -College of Health Professions and Sciences,28.602973,-81.19869,1,1,17627,3198,6368
University of Central Florida -Downtown,28.546754,-81.384979,1,1,17627,3198,6368
