STATEFP,State,ZCTA,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr
42,PA,16424,4,5805,1769,25685,1,3209,1745,10543,3,2596,24,44402,3,5643,1769,26119,1,162,0,10582,1,3209,1745,10543
42,PA,16426,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16427,6,12003,3682,31818,1,3209,1745,10543,5,8794,1937,39581,4,11075,3682,32970,2,928,0,18066,1,3209,1745,10543
42,PA,16428,6,10742,3682,27983,1,3209,1745,10543,5,7533,1937,35412,4,9814,3682,28920,2,928,0,18066,1,3209,1745,10543
42,PA,16430,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16433,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16434,5,9120,2331,30641,1,3209,1745,10543,4,5911,586,41552,3,8192,2331,32066,2,928,0,18066,1,3209,1745,10543
42,PA,16435,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16436,1,381,0,12945,No Campuses within 45 minutes,,,,1,381,0,12945,1,381,0,12945,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,
42,PA,16438,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16440,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16441,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16442,6,10742,3682,27983,1,3209,1745,10543,5,7533,1937,35412,4,9814,3682,28920,2,928,0,18066,1,3209,1745,10543
42,PA,16443,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16444,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16475,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16501,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16502,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16503,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16504,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16505,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16506,6,10523,3682,28259,1,3209,1745,10543,5,7314,1937,36032,3,9433,3682,29565,3,1090,0,16954,1,3209,1745,10543
42,PA,16507,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16508,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16509,7,12165,3682,31535,1,3209,1745,10543,6,8956,1937,39057,4,11075,3682,32970,3,1090,0,16954,1,3209,1745,10543
42,PA,16510,6,10742,3682,27983,1,3209,1745,10543,5,7533,1937,35412,4,9814,3682,28920,2,928,0,18066,1,3209,1745,10543
42,PA,16511,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16546,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16550,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16563,5,10361,3682,28536,1,3209,1745,10543,4,7152,1937,36608,3,9433,3682,29565,2,928,0,18066,1,3209,1745,10543
42,PA,16601,9,84411,19745,17109,3,79662,18916,15892,6,4749,829,37513,4,83554,19745,17090,5,857,0,18945,1,79165,18916,15890
42,PA,16602,7,5038,829,36308,1,289,0,16513,6,4749,829,37513,3,4389,829,38735,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16611,7,81591,18982,16496,2,79454,18916,15892,5,2137,66,38958,2,80456,18982,16455,5,1135,0,19460,1,79165,18916,15890
42,PA,16613,8,5262,763,25810,2,1567,0,10239,6,3695,763,32414,2,3098,763,33592,6,2164,0,14670,No Campuses within 45 minutes,,,
42,PA,16616,3,1647,39,22798,1,289,0,16513,2,1358,39,24135,1,1253,39,24890,2,394,0,16143,No Campuses within 45 minutes,,,
42,PA,16617,7,5038,829,36308,1,289,0,16513,6,4749,829,37513,3,4389,829,38735,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16619,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16621,1,1291,66,51076,No Campuses within 45 minutes,,,,1,1291,66,51076,1,1291,66,51076,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,
42,PA,16622,1,1291,66,51076,No Campuses within 45 minutes,,,,1,1291,66,51076,1,1291,66,51076,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,
42,PA,16623,1,1291,66,51076,No Campuses within 45 minutes,,,,1,1291,66,51076,1,1291,66,51076,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,
42,PA,16624,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16625,8,7471,763,21865,3,4013,0,12746,5,3458,763,32449,3,5544,763,25103,5,1927,0,12550,1,2446,0,14352
42,PA,16627,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
