State,County,avg_bal,med_bal,avg_inc,med_inc,avg_dti,med_dti,avg_bal_label,med_bal_label,avg_inc_label,med_inc_label,avg_bal_rankNat,med_bal_rankNat,avg_inc_rankNat,med_inc_rankNat,avg_dti_rankNat,med_dti_rankNat,avg_bal_pctNat,med_bal_pctNat,avg_inc_pctNat,med_inc_pctNat,avg_dti_pctNat,med_dti_pctNat,avg_bal_rankState,med_bal_rankState,avg_inc_rankState,med_inc_rankState,avg_dti_rankState,med_dti_rankState,avg_bal_pctState,med_bal_pctState,avg_inc_pctState,med_inc_pctState,avg_dti_pctState,med_dti_pctState,pct_bal_grt,avg_bal_sh_obal,med_bal_sh_obal,pct_bal_grt_label,avg_bal_sh_obal_label,med_bal_sh_obal_label,pct_bal_grt_rankNat,avg_bal_sh_obal_rankNat,med_bal_sh_obal_rankNat,pct_bal_grt_pctNat,avg_bal_sh_obal_pctNat,med_bal_sh_obal_pctNat,pct_bal_grt_rankState,avg_bal_sh_obal_rankState,med_bal_sh_obal_rankState,pct_bal_grt_pctState,avg_bal_sh_obal_pctState,med_bal_sh_obal_pctState,avg_bal_ASIAN,med_bal_ASIAN,avg_inc_ASIAN,med_inc_ASIAN,avg_dti_ASIAN,med_dti_ASIAN,avg_bal_label_ASIAN,med_bal_label_ASIAN,avg_inc_label_ASIAN,med_inc_label_ASIAN,avg_bal_rankNat_ASIAN,med_bal_rankNat_ASIAN,avg_inc_rankNat_ASIAN,med_inc_rankNat_ASIAN,avg_dti_rankNat_ASIAN,med_dti_rankNat_ASIAN,avg_bal_pctNat_ASIAN,med_bal_pctNat_ASIAN,avg_inc_pctNat_ASIAN,med_inc_pctNat_ASIAN,avg_dti_pctNat_ASIAN,med_dti_pctNat_ASIAN,avg_bal_rankState_ASIAN,med_bal_rankState_ASIAN,avg_inc_rankState_ASIAN,med_inc_rankState_ASIAN,avg_dti_rankState_ASIAN,med_dti_rankState_ASIAN,avg_bal_pctState_ASIAN,med_bal_pctState_ASIAN,avg_inc_pctState_ASIAN,med_inc_pctState_ASIAN,avg_dti_pctState_ASIAN,med_dti_pctState_ASIAN,pct_bal_grt_ASIAN,avg_bal_sh_obal_ASIAN,med_bal_sh_obal_ASIAN,pct_bal_grt_label_ASIAN,avg_bal_sh_obal_label_ASIAN,med_bal_sh_obal_label_ASIAN,pct_bal_grt_rankNat_ASIAN,avg_bal_sh_obal_rankNat_ASIAN,med_bal_sh_obal_rankNat_ASIAN,pct_bal_grt_pctNat_ASIAN,avg_bal_sh_obal_pctNat_ASIAN,med_bal_sh_obal_pctNat_ASIAN,pct_bal_grt_rankState_ASIAN,avg_bal_sh_obal_rankState_ASIAN,med_bal_sh_obal_rankState_ASIAN,pct_bal_grt_pctState_ASIAN,avg_bal_sh_obal_pctState_ASIAN,med_bal_sh_obal_pctState_ASIAN,avg_bal_BLACK,med_bal_BLACK,avg_inc_BLACK,med_inc_BLACK,avg_dti_BLACK,med_dti_BLACK,avg_bal_label_BLACK,med_bal_label_BLACK,avg_inc_label_BLACK,med_inc_label_BLACK,avg_bal_rankNat_BLACK,med_bal_rankNat_BLACK,avg_inc_rankNat_BLACK,med_inc_rankNat_BLACK,avg_dti_rankNat_BLACK,med_dti_rankNat_BLACK,avg_bal_pctNat_BLACK,med_bal_pctNat_BLACK,avg_inc_pctNat_BLACK,med_inc_pctNat_BLACK,avg_dti_pctNat_BLACK,med_dti_pctNat_BLACK,avg_bal_rankState_BLACK,med_bal_rankState_BLACK,avg_inc_rankState_BLACK,med_inc_rankState_BLACK,avg_dti_rankState_BLACK,med_dti_rankState_BLACK,avg_bal_pctState_BLACK,med_bal_pctState_BLACK,avg_inc_pctState_BLACK,med_inc_pctState_BLACK,avg_dti_pctState_BLACK,med_dti_pctState_BLACK,pct_bal_grt_BLACK,avg_bal_sh_obal_BLACK,med_bal_sh_obal_BLACK,pct_bal_grt_label_BLACK,avg_bal_sh_obal_label_BLACK,med_bal_sh_obal_label_BLACK,pct_bal_grt_rankNat_BLACK,avg_bal_sh_obal_rankNat_BLACK,med_bal_sh_obal_rankNat_BLACK,pct_bal_grt_pctNat_BLACK,avg_bal_sh_obal_pctNat_BLACK,med_bal_sh_obal_pctNat_BLACK,pct_bal_grt_rankState_BLACK,avg_bal_sh_obal_rankState_BLACK,med_bal_sh_obal_rankState_BLACK,pct_bal_grt_pctState_BLACK,avg_bal_sh_obal_pctState_BLACK,med_bal_sh_obal_pctState_BLACK,avg_bal_LATINO,med_bal_LATINO,avg_inc_LATINO,med_inc_LATINO,avg_dti_LATINO,med_dti_LATINO,avg_bal_label_LATINO,med_bal_label_LATINO,avg_inc_label_LATINO,med_inc_label_LATINO,avg_bal_rankNat_LATINO,med_bal_rankNat_LATINO,avg_inc_rankNat_LATINO,med_inc_rankNat_LATINO,avg_dti_rankNat_LATINO,med_dti_rankNat_LATINO,avg_bal_pctNat_LATINO,med_bal_pctNat_LATINO,avg_inc_pctNat_LATINO,med_inc_pctNat_LATINO,avg_dti_pctNat_LATINO,med_dti_pctNat_LATINO,avg_bal_rankState_LATINO,med_bal_rankState_LATINO,avg_inc_rankState_LATINO,med_inc_rankState_LATINO,avg_dti_rankState_LATINO,med_dti_rankState_LATINO,avg_bal_pctState_LATINO,med_bal_pctState_LATINO,avg_inc_pctState_LATINO,med_inc_pctState_LATINO,avg_dti_pctState_LATINO,med_dti_pctState_LATINO,pct_bal_grt_LATINO,avg_bal_sh_obal_LATINO,med_bal_sh_obal_LATINO,pct_bal_grt_label_LATINO,avg_bal_sh_obal_label_LATINO,med_bal_sh_obal_label_LATINO,pct_bal_grt_rankNat_LATINO,avg_bal_sh_obal_rankNat_LATINO,med_bal_sh_obal_rankNat_LATINO,pct_bal_grt_pctNat_LATINO,avg_bal_sh_obal_pctNat_LATINO,med_bal_sh_obal_pctNat_LATINO,pct_bal_grt_rankState_LATINO,avg_bal_sh_obal_rankState_LATINO,med_bal_sh_obal_rankState_LATINO,pct_bal_grt_pctState_LATINO,avg_bal_sh_obal_pctState_LATINO,med_bal_sh_obal_pctState_LATINO,avg_bal_NATVAM,med_bal_NATVAM,avg_inc_NATVAM,med_inc_NATVAM,avg_dti_NATVAM,med_dti_NATVAM,avg_bal_label_NATVAM,med_bal_label_NATVAM,avg_inc_label_NATVAM,med_inc_label_NATVAM,avg_bal_rankNat_NATVAM,med_bal_rankNat_NATVAM,avg_inc_rankNat_NATVAM,med_inc_rankNat_NATVAM,avg_dti_rankNat_NATVAM,med_dti_rankNat_NATVAM,avg_bal_pctNat_NATVAM,med_bal_pctNat_NATVAM,avg_inc_pctNat_NATVAM,med_inc_pctNat_NATVAM,avg_dti_pctNat_NATVAM,med_dti_pctNat_NATVAM,avg_bal_rankState_NATVAM,med_bal_rankState_NATVAM,avg_inc_rankState_NATVAM,med_inc_rankState_NATVAM,avg_dti_rankState_NATVAM,med_dti_rankState_NATVAM,avg_bal_pctState_NATVAM,med_bal_pctState_NATVAM,avg_inc_pctState_NATVAM,med_inc_pctState_NATVAM,avg_dti_pctState_NATVAM,med_dti_pctState_NATVAM,pct_bal_grt_NATVAM,avg_bal_sh_obal_NATVAM,med_bal_sh_obal_NATVAM,pct_bal_grt_label_NATVAM,avg_bal_sh_obal_label_NATVAM,med_bal_sh_obal_label_NATVAM,pct_bal_grt_rankNat_NATVAM,avg_bal_sh_obal_rankNat_NATVAM,med_bal_sh_obal_rankNat_NATVAM,pct_bal_grt_pctNat_NATVAM,avg_bal_sh_obal_pctNat_NATVAM,med_bal_sh_obal_pctNat_NATVAM,pct_bal_grt_rankState_NATVAM,avg_bal_sh_obal_rankState_NATVAM,med_bal_sh_obal_rankState_NATVAM,pct_bal_grt_pctState_NATVAM,avg_bal_sh_obal_pctState_NATVAM,med_bal_sh_obal_pctState_NATVAM,avg_bal_WHITE,med_bal_WHITE,avg_inc_WHITE,med_inc_WHITE,avg_dti_WHITE,med_dti_WHITE,avg_bal_label_WHITE,med_bal_label_WHITE,avg_inc_label_WHITE,med_inc_label_WHITE,avg_bal_rankNat_WHITE,med_bal_rankNat_WHITE,avg_inc_rankNat_WHITE,med_inc_rankNat_WHITE,avg_dti_rankNat_WHITE,med_dti_rankNat_WHITE,avg_bal_pctNat_WHITE,med_bal_pctNat_WHITE,avg_inc_pctNat_WHITE,med_inc_pctNat_WHITE,avg_dti_pctNat_WHITE,med_dti_pctNat_WHITE,avg_bal_rankState_WHITE,med_bal_rankState_WHITE,avg_inc_rankState_WHITE,med_inc_rankState_WHITE,avg_dti_rankState_WHITE,med_dti_rankState_WHITE,avg_bal_pctState_WHITE,med_bal_pctState_WHITE,avg_inc_pctState_WHITE,med_inc_pctState_WHITE,avg_dti_pctState_WHITE,med_dti_pctState_WHITE,pct_bal_grt_WHITE,avg_bal_sh_obal_WHITE,med_bal_sh_obal_WHITE,pct_bal_grt_label_WHITE,avg_bal_sh_obal_label_WHITE,med_bal_sh_obal_label_WHITE,pct_bal_grt_rankNat_WHITE,avg_bal_sh_obal_rankNat_WHITE,med_bal_sh_obal_rankNat_WHITE,pct_bal_grt_pctNat_WHITE,avg_bal_sh_obal_pctNat_WHITE,med_bal_sh_obal_pctNat_WHITE,pct_bal_grt_rankState_WHITE,avg_bal_sh_obal_rankState_WHITE,med_bal_sh_obal_rankState_WHITE,pct_bal_grt_pctState_WHITE,avg_bal_sh_obal_pctState_WHITE,med_bal_sh_obal_pctState_WHITE
CO,08001,27442.9475826251,15688.96,38477.7016316665,36312.0761379863,0.734168246666716,0.432568653567786,"$27,443","$15,689","$38,478","$36,312",1247,1356,254,365,2175,2092,54th,50th,90th,86th,20th,23rd,24,26,11,14,25,28,43rd,39th,75th,68th,41st,34th,0.533818181818182,0.985710755885998,1.0164,53.35%,98.56%,101.64%,1754,1907,1668,38th,33rd,41st,18,20,19,63rd,59th,61st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26122.5841118421,14183.195,29423.2902915719,29538,0.89202437221936,0.482303594212443,"$26,123","$14,183","$29,423","$29,538",163,169,104,100,271,302,63rd,62nd,76th,77th,39th,32nd,6,7,5,4,7,9,54th,45th,63rd,72nd,45th,27th,0.54695652173913,0.990042971530249,1.022,54.67%,99.00%,102.19%,369,388,340,23rd,19th,29th,10,10,10,40th,40th,40th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27974.5906225166,16976.47,42123.4513633073,40063.4468632011,0.670607634523665,0.397634283799792,"$27,975","$16,976","$42,123","$40,063",1134,1084,175,246,2173,2086,55th,57th,93rd,90th,14th,18th,20,23,9,12,30,29,51st,43rd,79th,71st,25th,28th,0.528739495798319,0.984037993816558,1.0153,52.91%,98.45%,101.53%,1600,1735,1526,40th,35th,43rd,16,18,17,67th,63rd,65th
CO,08003,46263.0082758621,21932.64,20642.7817304807,19664.1569582004,2.32332697673501,1.12394383519524,"$46,263","$21,933","$20,643","$19,664",56,285,2534,2553,45,65,97th,89th,7th,6th,98th,97th,2,8,41,41,1,2,97th,82nd,2nd,2nd,100th,97th,0.598802395209581,1.06785149700599,1.0505,59.84%,106.81%,105.05%,1150,624,798,59th,78th,72nd,11,5,10,78th,91st,80th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46222.17375,34690.775,19514,19514,2.36866730296198,1.77773777800554,"$46,222","$34,691","$19,514","$19,514",11,2,344,337,17,1,97th,99th,22nd,24th,96th,100th,1,1,10,10,1,1,100th,100th,18th,18th,100th,100th,0.658536585365854,1.07409024390244,1.0163,65.89%,107.36%,101.64%,190,145,370,60th,70th,23rd,7,3,11,60th,86th,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46278.5642857143,20993.74,21072.7938182829,19664.1569582004,2.30605447150569,0.953615760892306,"$46,279","$20,994","$21,073","$19,664",73,413,2450,2493,22,105,97th,83rd,3rd,2nd,99th,95th,2,8,39,39,1,3,97th,82nd,2nd,2nd,100th,94th,0.579365079365079,1.06582142857143,1.0563,57.97%,106.59%,105.60%,1128,509,540,58th,81st,80th,10,3,8,80th,95th,84th
CO,08005,34129.3314673514,19130.29,41221.5664316868,39173,0.859504846482798,0.495808073715913,"$34,129","$19,130","$41,222","$39,173",449,654,146,220,1663,1660,83rd,76th,94th,91st,39th,39th,9,16,8,10,21,21,80th,63rd,82nd,78th,51st,51st,0.552424863387978,1.00375561357702,1.0235,55.22%,100.43%,102.30%,1601,1620,1444,44th,43rd,49th,17,16,17,65th,68th,65th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34493.3028571429,26155.26,32868.3549847959,33146.9886272898,1.07327872753164,0.757490044309833,"$34,493","$26,155","$32,868","$33,147",118,37,44,42,366,246,78th,93rd,92nd,92nd,34th,55th,1,1,1,1,2,2,100th,100th,100th,100th,50th,50th,0.577689243027889,1.03544798387097,1.02565,57.75%,103.51%,102.52%,531,495,527,9th,15th,9th,2,2,2,50th,50th,50th,27897.5526900585,15440.62,29690.5529533552,27140.8787288971,0.974643304211802,0.509402359882006,"$27,898","$15,441","$29,691","$27,141",129,123,100,146,223,273,71st,72nd,77th,67th,50th,38th,5,5,4,7,5,6,63rd,63rd,72nd,45th,63rd,54th,0.66578947368421,1.05143077939234,1.066,66.55%,105.16%,106.59%,179,214,117,63rd,55th,75th,6,5,6,66th,73rd,66th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35049.4474647887,19409.18,43369.0868065289,40678,0.831635116191957,0.468858195924432,"$35,049","$19,409","$43,369","$40,678",411,627,139,223,1579,1642,83rd,75th,94th,91st,38th,35th,7,13,5,9,18,20,84th,69th,89th,79th,56th,51st,0.533333333333333,0.994483502109705,1.0158,53.35%,99.44%,101.53%,1560,1570,1508,42nd,41st,44th,15,16,16,69th,67th,67th
CO,08007,26979.8575,27603.24,27475.8069273152,29209.8724315068,0.97806841870329,1.00708633429464,"$26,980","$27,603","$27,476","$29,210",1305,53,1604,1305,1163,101,52nd,98th,41st,52nd,57th,96th,25,4,32,27,14,3,41st,92nd,24th,36th,68th,95th,0.464285714285714,0.916578571428571,0.99,46.42%,91.63%,99.00%,2292,2538,2522,19th,11th,11th,32,34,32,34th,29th,34th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26979.8575,27603.24,27475.8069273152,29209.8724315068,0.97806841870329,1.00708633429464,"$26,980","$27,603","$27,476","$29,210",1265,57,1656,1383,985,79,50th,97th,35th,45th,61st,96th,23,3,33,29,11,1,43rd,94th,17th,28th,74th,100th,0.464285714285714,0.916578571428571,0.99,46.42%,91.63%,99.0%,2112,2365,2354,21st,12th,12th,30,32,31,36th,32nd,34th
CO,08013,31433.7252164502,19186.16,42947.9237187169,43183.8429399616,0.933576115194055,0.433341158859775,"$31,434","$19,186","$42,948","$43,184",733,641,107,100,1341,2086,73rd,76th,96th,96th,51st,23rd,13,15,7,7,19,27,70th,65th,85th,85th,56th,36th,0.456285566476979,0.951170423280423,0.9985,45.65%,95.15%,99.88%,2334,2312,2486,18th,19th,13th,33,28,30,31st,42nd,38th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28644.4671428571,19926.86,33869,33869,0.845742925473357,0.588350999439015,"$28,644","$19,927","$33,869","$33,869",108,48,27,31,298,197,75th,89th,94th,93rd,33rd,55th,4,2,1,1,9,5,72nd,90th,100th,100th,27th,63rd,0.585365853658537,0.993224390243902,1.0601,58.52%,99.33%,106.04%,307,384,143,36th,20th,70th,8,9,7,53rd,46th,60th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31476.6368791209,19084.44,43087.5994682356,43183.8429399616,0.934927395035912,0.429870948825429,"$31,477","$19,084","$43,088","$43,184",735,683,151,140,1149,1903,71st,73rd,94th,94th,54th,25th,14,15,8,7,15,26,66th,64th,82nd,84th,64th,35th,0.453488372093023,0.950237912385073,0.998,45.32%,95.04%,99.77%,2176,2141,2318,19th,20th,14th,33,26,28,30th,45th,41st
CO,08014,30034.2641463415,19290.27,43238.3683633749,44466.3673802881,0.695238589838781,0.45979947000653,"$30,034","$19,290","$43,238","$44,466",892,623,101,82,2306,1916,67th,77th,96th,97th,15th,30th,15,14,5,5,30,23,65th,68th,90th,90th,29th,46th,0.442708333333333,0.980130327868853,1,44.22%,98.01%,99.99%,2405,1996,2317,15th,30th,19th,36,21,26,25th,57th,45th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30034.2641463415,19290.27,43238.3683633749,44466.3673802881,0.695238589838781,0.45979947000653,"$30,034","$19,290","$43,238","$44,466",880,640,145,113,2103,1714,65th,74th,94th,95th,17th,32nd,16,14,6,6,28,22,61st,66th,87th,87th,30th,46th,0.442708333333333,0.980130327868853,1,44.22%,98.01%,99.99%,2238,1799,2140,17th,33rd,20th,35,19,24,26th,60th,50th
CO,08015,34761.8226923077,26100.34,29773.3190602917,29310,1.18915742597226,0.779134172349333,"$34,762","$26,100","$29,773","$29,310",403,75,1193,1290,528,319,85th,97th,56th,52nd,80th,88th,8,7,27,26,6,5,82nd,85th,36th,39th,87th,90th,0.454545454545455,0.931510227272727,0.94325,45.43%,93.17%,94.38%,2342,2466,2674,18th,13th,6th,34,33,37,29th,31st,23rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34761.8226923077,26100.34,29773.3190602917,29310,1.18915742597226,0.779134172349333,"$34,762","$26,100","$29,773","$29,310",434,85,1266,1371,392,239,83rd,96th,50th,46th,84th,90th,8,6,28,28,6,4,82nd,87th,30th,30th,87th,92nd,0.454545454545455,0.931510227272727,0.94325,45.43%,93.17%,94.38%,2168,2288,2503,19th,15th,7th,32,31,36,32nd,34th,23rd
CO,08019,26802.5469230769,17001.3,39422.122931454,44471.1954523432,0.644364580696857,0.420256301926323,"$26,803","$17,001","$39,422","$44,471",1337,1069,212,81,2439,2168,51st,60th,92nd,97th,10th,20th,26,23,9,4,33,29,39th,46th,80th,92nd,21st,31st,0.686274509803922,1.13553,1.121,68.64%,113.52%,112.09%,493,152,70,82nd,94th,97th,4,2,3,93rd,97th,95th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26802.5469230769,17001.3,39422.122931454,44471.1954523432,0.644364580696857,0.420256301926323,"$26,803","$17,001","$39,422","$44,471",1297,1076,270,112,2243,1961,49th,57th,89th,95th,12th,23rd,24,22,10,5,31,27,41st,46th,76th,89th,23rd,33rd,0.686274509803922,1.13553,1.121,68.64%,113.52%,112.09%,360,120,64,86th,95th,97th,3,1,2,95th,100th,97th
CO,08021,41934.192,48196.78,24213.6,24806,1.69231531185571,1.9429484802064,"$41,934","$48,197","$24,214","$24,806",105,3,2161,2025,138,7,96th,99th,21st,26th,94th,99th,3,1,39,39,3,1,95th,100th,7th,7th,95th,100th,0.676470588235294,1.03554705882353,1.0243,67.65%,103.51%,102.41%,546,1111,1415,80th,61st,50th,5,9,16,91st,82nd,68th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696969696969697,1.05727575757576,1.0261,69.74%,105.71%,102.63%,314,605,1161,88th,77th,57th,2,6,13,97th,89th,73rd
CO,08029,20377.5929032258,14596.29,27709.1421824233,25853.0254057204,0.72331658602988,0.498056923156459,"$20,378","$14,596","$27,709","$25,853",2189,1589,1562,1868,2215,1636,20th,41st,42nd,31st,19th,40th,35,29,31,35,27,20,17th,31st,26th,17th,36th,53rd,0.641666666666667,1.038155,1.065,64.13%,103.84%,106.48%,782,1071,503,72nd,62nd,82nd,8,8,8,85th,85th,85th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20377.5929032258,14596.29,27709.1421824233,25853.0254057204,0.72331658602988,0.498056923156459,"$20,378","$14,596","$27,709","$25,853",2063,1572,1620,1914,2006,1438,19th,38th,36th,25th,21st,43rd,32,28,31,36,23,18,20th,30th,23rd,10th,43rd,56th,0.641666666666667,1.038155,1.065,64.13%,103.84%,106.48%,610,890,394,77th,67th,85th,6,7,6,89th,86th,89th
CO,08031,41474.4163968796,21128.42,45447.9539195694,44333.2425328554,0.942669686950075,0.459799017093682,"$41,474","$21,128","$45,448","$44,333",114,369,67,83,1305,1917,95th,86th,97th,97th,52nd,29th,4,9,4,6,17,24,92nd,80th,92nd,87th,60th,43rd,0.506755235307363,0.968047576736672,1.00785,50.71%,96.80%,100.76%,1977,2143,1931,30th,25th,32nd,22,23,22,55th,53rd,55th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33456.7005797102,18752.05,32073.0353409346,31201.9477841253,1.09741160722271,0.760535533364147,"$33,457","$18,752","$32,073","$31,202",138,213,50,66,351,240,75th,61st,91st,88th,37th,57th,2,2,2,2,1,1,50th,50th,50th,50th,100th,100th,0.733333333333333,1.06501366906475,1.082,73.37%,106.48%,108.24%,316,450,266,46th,23rd,54th,1,1,1,100th,100th,100th,29231.6774352332,14783.495,30591.6370288828,30295,0.998108834254744,0.508478646316803,"$29,232","$14,783","$30,592","$30,295",100,143,77,82,213,275,77th,68th,82nd,81st,52nd,38th,3,6,3,2,4,7,81st,54th,81st,90th,72nd,45th,0.54472049689441,1.00808556048132,1.0233,54.45%,100.76%,102.30%,371,359,329,23rd,25th,32nd,11,7,9,33rd,60th,46th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44782.0101503759,22697.695,49619.2620033606,49528.0034474268,0.922571501888412,0.453284190748728,"$44,782","$22,698","$49,619","$49,528",90,235,54,53,1195,1744,96th,90th,97th,97th,53rd,31st,3,7,3,4,17,23,94th,84th,94th,92nd,58th,43rd,0.488764849005296,0.954803847848436,1.0011,48.84%,95.48%,100.10%,1946,2094,1948,27th,22nd,27th,23,24,21,52nd,50th,56th
CO,08033,22830.268,12557.09,31419.8793885269,31419.8793885269,0.726618575383092,0.399654303083839,"$22,830","$12,557","$31,420","$31,420",1879,2013,894,904,2206,2280,31st,26th,67th,66th,19th,16th,32,33,23,24,26,32,24th,21st,46th,43rd,39th,24th,0.28,0.659524,0.5788,28.05%,66.00%,57.86%,2750,2838,2850,3rd,1st,1st,42,46,46,12th,4th,4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22830.268,12557.09,31419.8793885269,31419.8793885269,0.726618575383092,0.399654303083839,"$22,830","$12,557","$31,420","$31,420",1791,1943,968,979,1996,2078,29th,23rd,62nd,61st,21st,18th,30,32,23,24,22,28,25th,20th,43rd,41st,46th,30th,0.28,0.659524,0.5788,28.05%,66.0%,57.86%,2583,2674,2685,4th,1st,1st,41,45,45,13th,4th,4th
CO,08035,36332.6046598639,19802.22,53197.7460815228,53586.5741483603,0.700411585713468,0.3789748467265,"$36,333","$19,802","$53,198","$53,587",284,544,16,14,2295,2382,89th,80th,99th,99th,16th,12th,7,13,1,1,29,33,85th,70th,100th,100th,31st,21st,0.472419227738377,0.962371717990275,1,47.19%,96.25%,99.99%,2236,2203,2317,21st,23rd,19th,29,26,26,40th,46th,45th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36332.6046598639,19802.22,53197.7460815228,53586.5741483603,0.700411585713468,0.3789748467265,"$36,333","$19,802","$53,198","$53,587",323,570,30,23,2091,2179,87th,77th,98th,99th,18th,14th,6,12,1,1,26,30,87th,71st,100th,100th,35th,25th,0.472419227738377,0.962371717990275,1,47.19%,96.25%,99.99%,2053,2015,2140,24th,25th,20th,26,22,24,45th,54th,50th
