State,County,avg_bal,med_bal,avg_inc,med_inc,avg_dti,med_dti,avg_bal_label,med_bal_label,avg_inc_label,med_inc_label,avg_bal_rankNat,med_bal_rankNat,avg_inc_rankNat,med_inc_rankNat,avg_dti_rankNat,med_dti_rankNat,avg_bal_pctNat,med_bal_pctNat,avg_inc_pctNat,med_inc_pctNat,avg_dti_pctNat,med_dti_pctNat,avg_bal_rankState,med_bal_rankState,avg_inc_rankState,med_inc_rankState,avg_dti_rankState,med_dti_rankState,avg_bal_pctState,med_bal_pctState,avg_inc_pctState,med_inc_pctState,avg_dti_pctState,med_dti_pctState,pct_bal_grt,avg_bal_sh_obal,med_bal_sh_obal,pct_bal_grt_label,avg_bal_sh_obal_label,med_bal_sh_obal_label,pct_bal_grt_rankNat,avg_bal_sh_obal_rankNat,med_bal_sh_obal_rankNat,pct_bal_grt_pctNat,avg_bal_sh_obal_pctNat,med_bal_sh_obal_pctNat,pct_bal_grt_rankState,avg_bal_sh_obal_rankState,med_bal_sh_obal_rankState,pct_bal_grt_pctState,avg_bal_sh_obal_pctState,med_bal_sh_obal_pctState,avg_bal_ASIAN,med_bal_ASIAN,avg_inc_ASIAN,med_inc_ASIAN,avg_dti_ASIAN,med_dti_ASIAN,avg_bal_label_ASIAN,med_bal_label_ASIAN,avg_inc_label_ASIAN,med_inc_label_ASIAN,avg_bal_rankNat_ASIAN,med_bal_rankNat_ASIAN,avg_inc_rankNat_ASIAN,med_inc_rankNat_ASIAN,avg_dti_rankNat_ASIAN,med_dti_rankNat_ASIAN,avg_bal_pctNat_ASIAN,med_bal_pctNat_ASIAN,avg_inc_pctNat_ASIAN,med_inc_pctNat_ASIAN,avg_dti_pctNat_ASIAN,med_dti_pctNat_ASIAN,avg_bal_rankState_ASIAN,med_bal_rankState_ASIAN,avg_inc_rankState_ASIAN,med_inc_rankState_ASIAN,avg_dti_rankState_ASIAN,med_dti_rankState_ASIAN,avg_bal_pctState_ASIAN,med_bal_pctState_ASIAN,avg_inc_pctState_ASIAN,med_inc_pctState_ASIAN,avg_dti_pctState_ASIAN,med_dti_pctState_ASIAN,pct_bal_grt_ASIAN,avg_bal_sh_obal_ASIAN,med_bal_sh_obal_ASIAN,pct_bal_grt_label_ASIAN,avg_bal_sh_obal_label_ASIAN,med_bal_sh_obal_label_ASIAN,pct_bal_grt_rankNat_ASIAN,avg_bal_sh_obal_rankNat_ASIAN,med_bal_sh_obal_rankNat_ASIAN,pct_bal_grt_pctNat_ASIAN,avg_bal_sh_obal_pctNat_ASIAN,med_bal_sh_obal_pctNat_ASIAN,pct_bal_grt_rankState_ASIAN,avg_bal_sh_obal_rankState_ASIAN,med_bal_sh_obal_rankState_ASIAN,pct_bal_grt_pctState_ASIAN,avg_bal_sh_obal_pctState_ASIAN,med_bal_sh_obal_pctState_ASIAN,avg_bal_BLACK,med_bal_BLACK,avg_inc_BLACK,med_inc_BLACK,avg_dti_BLACK,med_dti_BLACK,avg_bal_label_BLACK,med_bal_label_BLACK,avg_inc_label_BLACK,med_inc_label_BLACK,avg_bal_rankNat_BLACK,med_bal_rankNat_BLACK,avg_inc_rankNat_BLACK,med_inc_rankNat_BLACK,avg_dti_rankNat_BLACK,med_dti_rankNat_BLACK,avg_bal_pctNat_BLACK,med_bal_pctNat_BLACK,avg_inc_pctNat_BLACK,med_inc_pctNat_BLACK,avg_dti_pctNat_BLACK,med_dti_pctNat_BLACK,avg_bal_rankState_BLACK,med_bal_rankState_BLACK,avg_inc_rankState_BLACK,med_inc_rankState_BLACK,avg_dti_rankState_BLACK,med_dti_rankState_BLACK,avg_bal_pctState_BLACK,med_bal_pctState_BLACK,avg_inc_pctState_BLACK,med_inc_pctState_BLACK,avg_dti_pctState_BLACK,med_dti_pctState_BLACK,pct_bal_grt_BLACK,avg_bal_sh_obal_BLACK,med_bal_sh_obal_BLACK,pct_bal_grt_label_BLACK,avg_bal_sh_obal_label_BLACK,med_bal_sh_obal_label_BLACK,pct_bal_grt_rankNat_BLACK,avg_bal_sh_obal_rankNat_BLACK,med_bal_sh_obal_rankNat_BLACK,pct_bal_grt_pctNat_BLACK,avg_bal_sh_obal_pctNat_BLACK,med_bal_sh_obal_pctNat_BLACK,pct_bal_grt_rankState_BLACK,avg_bal_sh_obal_rankState_BLACK,med_bal_sh_obal_rankState_BLACK,pct_bal_grt_pctState_BLACK,avg_bal_sh_obal_pctState_BLACK,med_bal_sh_obal_pctState_BLACK,avg_bal_LATINO,med_bal_LATINO,avg_inc_LATINO,med_inc_LATINO,avg_dti_LATINO,med_dti_LATINO,avg_bal_label_LATINO,med_bal_label_LATINO,avg_inc_label_LATINO,med_inc_label_LATINO,avg_bal_rankNat_LATINO,med_bal_rankNat_LATINO,avg_inc_rankNat_LATINO,med_inc_rankNat_LATINO,avg_dti_rankNat_LATINO,med_dti_rankNat_LATINO,avg_bal_pctNat_LATINO,med_bal_pctNat_LATINO,avg_inc_pctNat_LATINO,med_inc_pctNat_LATINO,avg_dti_pctNat_LATINO,med_dti_pctNat_LATINO,avg_bal_rankState_LATINO,med_bal_rankState_LATINO,avg_inc_rankState_LATINO,med_inc_rankState_LATINO,avg_dti_rankState_LATINO,med_dti_rankState_LATINO,avg_bal_pctState_LATINO,med_bal_pctState_LATINO,avg_inc_pctState_LATINO,med_inc_pctState_LATINO,avg_dti_pctState_LATINO,med_dti_pctState_LATINO,pct_bal_grt_LATINO,avg_bal_sh_obal_LATINO,med_bal_sh_obal_LATINO,pct_bal_grt_label_LATINO,avg_bal_sh_obal_label_LATINO,med_bal_sh_obal_label_LATINO,pct_bal_grt_rankNat_LATINO,avg_bal_sh_obal_rankNat_LATINO,med_bal_sh_obal_rankNat_LATINO,pct_bal_grt_pctNat_LATINO,avg_bal_sh_obal_pctNat_LATINO,med_bal_sh_obal_pctNat_LATINO,pct_bal_grt_rankState_LATINO,avg_bal_sh_obal_rankState_LATINO,med_bal_sh_obal_rankState_LATINO,pct_bal_grt_pctState_LATINO,avg_bal_sh_obal_pctState_LATINO,med_bal_sh_obal_pctState_LATINO,avg_bal_NATVAM,med_bal_NATVAM,avg_inc_NATVAM,med_inc_NATVAM,avg_dti_NATVAM,med_dti_NATVAM,avg_bal_label_NATVAM,med_bal_label_NATVAM,avg_inc_label_NATVAM,med_inc_label_NATVAM,avg_bal_rankNat_NATVAM,med_bal_rankNat_NATVAM,avg_inc_rankNat_NATVAM,med_inc_rankNat_NATVAM,avg_dti_rankNat_NATVAM,med_dti_rankNat_NATVAM,avg_bal_pctNat_NATVAM,med_bal_pctNat_NATVAM,avg_inc_pctNat_NATVAM,med_inc_pctNat_NATVAM,avg_dti_pctNat_NATVAM,med_dti_pctNat_NATVAM,avg_bal_rankState_NATVAM,med_bal_rankState_NATVAM,avg_inc_rankState_NATVAM,med_inc_rankState_NATVAM,avg_dti_rankState_NATVAM,med_dti_rankState_NATVAM,avg_bal_pctState_NATVAM,med_bal_pctState_NATVAM,avg_inc_pctState_NATVAM,med_inc_pctState_NATVAM,avg_dti_pctState_NATVAM,med_dti_pctState_NATVAM,pct_bal_grt_NATVAM,avg_bal_sh_obal_NATVAM,med_bal_sh_obal_NATVAM,pct_bal_grt_label_NATVAM,avg_bal_sh_obal_label_NATVAM,med_bal_sh_obal_label_NATVAM,pct_bal_grt_rankNat_NATVAM,avg_bal_sh_obal_rankNat_NATVAM,med_bal_sh_obal_rankNat_NATVAM,pct_bal_grt_pctNat_NATVAM,avg_bal_sh_obal_pctNat_NATVAM,med_bal_sh_obal_pctNat_NATVAM,pct_bal_grt_rankState_NATVAM,avg_bal_sh_obal_rankState_NATVAM,med_bal_sh_obal_rankState_NATVAM,pct_bal_grt_pctState_NATVAM,avg_bal_sh_obal_pctState_NATVAM,med_bal_sh_obal_pctState_NATVAM,avg_bal_WHITE,med_bal_WHITE,avg_inc_WHITE,med_inc_WHITE,avg_dti_WHITE,med_dti_WHITE,avg_bal_label_WHITE,med_bal_label_WHITE,avg_inc_label_WHITE,med_inc_label_WHITE,avg_bal_rankNat_WHITE,med_bal_rankNat_WHITE,avg_inc_rankNat_WHITE,med_inc_rankNat_WHITE,avg_dti_rankNat_WHITE,med_dti_rankNat_WHITE,avg_bal_pctNat_WHITE,med_bal_pctNat_WHITE,avg_inc_pctNat_WHITE,med_inc_pctNat_WHITE,avg_dti_pctNat_WHITE,med_dti_pctNat_WHITE,avg_bal_rankState_WHITE,med_bal_rankState_WHITE,avg_inc_rankState_WHITE,med_inc_rankState_WHITE,avg_dti_rankState_WHITE,med_dti_rankState_WHITE,avg_bal_pctState_WHITE,med_bal_pctState_WHITE,avg_inc_pctState_WHITE,med_inc_pctState_WHITE,avg_dti_pctState_WHITE,med_dti_pctState_WHITE,pct_bal_grt_WHITE,avg_bal_sh_obal_WHITE,med_bal_sh_obal_WHITE,pct_bal_grt_label_WHITE,avg_bal_sh_obal_label_WHITE,med_bal_sh_obal_label_WHITE,pct_bal_grt_rankNat_WHITE,avg_bal_sh_obal_rankNat_WHITE,med_bal_sh_obal_rankNat_WHITE,pct_bal_grt_pctNat_WHITE,avg_bal_sh_obal_pctNat_WHITE,med_bal_sh_obal_pctNat_WHITE,pct_bal_grt_rankState_WHITE,avg_bal_sh_obal_rankState_WHITE,med_bal_sh_obal_rankState_WHITE,pct_bal_grt_pctState_WHITE,avg_bal_sh_obal_pctState_WHITE,med_bal_sh_obal_pctState_WHITE
AK,02020,28805.5274793388,13834.095,39665.7676547616,38261.9579558657,0.767859593608899,0.356221694114683,"$28,806","$13,834","$39,666","$38,262",1062,1752,200,258,2063,2482,61st,36th,92nd,90th,24th,9th,2,2,1,1,3,3,66th,66th,100th,100th,33rd,33rd,0.499155880697805,0.969207290470723,1.00675,49.94%,96.91%,100.65%,2054,2130,1968,28th,25th,31st,3,3,3,66th,66th,66th,28770.965,14515.575,29423,29423,0.977839275396798,0.493341093702206,"$28,771","$14,516","$29,423","$29,423",63,68,52,51,34,38,13th,6th,29th,30th,54th,48th,1,1,1,1,1,1,100th,100th,100th,100th,100th,100th,0.59375,1.0562125,1.0487,59.40%,105.60%,104.83%,25,21,19,68th,74th,76th,1,1,1,100th,100th,100th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40851.9444444444,20151.32,17645.3255752469,17645.3255752469,2.31517090859191,1.14202029960096,"$40,852","$20,151","$17,645","$17,645",4,2,24,20,2,1,88th,96th,8th,24th,96th,100th,2,1,2,1,1,1,50th,100th,50th,100th,100th,100th,0.666666666666667,1.13465740740741,1.0926,66.66%,113.52%,109.23%,23,11,12,50th,77th,73rd,1,1,1,100th,100th,100th,28572.2596544276,13688.91,40359.2821052427,40023,0.732340029858787,0.340062110804391,"$28,572","$13,689","$40,359","$40,023",1060,1738,227,248,1980,2323,58th,31st,91st,90th,22nd,8th,1,2,1,1,2,2,100th,50th,100th,100th,50th,50th,0.492016558249557,0.962130917874396,1.00135,49.17%,96.25%,100.10%,1916,2016,1941,29th,25th,28th,2,2,2,66th,66th,66th
AK,02050,41972.968,5111.37,20130.9553304015,11033.0091210631,1.38101734561165,0.38729797742467,"$41,973","$5,111","$20,131","$11,033",103,2718,2561,2719,297,2339,96th,1st,6th,1st,89th,14th,1,3,3,3,1,2,100th,33rd,33rd,33rd,100th,66th,0.558823529411765,0.973535294117647,1.0394,55.88%,97.35%,103.95%,1528,2087,1019,46th,27th,64th,1,2,1,100th,83rd,100th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41972.968,5111.37,20130.9553304015,11033.0091210631,1.38101734561165,0.38729797742467,"$41,973","$5,111","$20,131","$11,033",3,23,17,25,7,17,92nd,12th,36th,4th,76th,36th,1,2,1,2,2,2,100th,50th,100th,50th,50th,50th,0.558823529411765,0.973535294117647,1.0394,55.88%,97.35%,103.95%,32,35,29,29th,22nd,36th,2,2,2,66th,66th,66th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,02090,27675.3546511628,17351.84,37979.2086077165,37473.9701639424,0.795911348827884,0.416863975564905,"$27,675","$17,352","$37,979","$37,474",1215,997,285,298,1946,2188,55th,63rd,89th,89th,28th,20th,3,1,2,2,2,1,33rd,100th,66th,66th,66th,100th,0.555769230769231,1.01377889546351,1.0295,55.55%,101.42%,102.96%,1559,1461,1271,45th,48th,55th,2,1,2,83rd,100th,83rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27675.3546511628,17351.84,37979.2086077165,37473.9701639424,0.795911348827884,0.416863975564905,"$27,675","$17,352","$37,979","$37,474",1176,1008,341,373,1744,1979,53rd,60th,86th,85th,31st,22nd,2,1,2,2,1,1,50th,100th,50th,50th,100th,100th,0.555769230769231,1.01377889546351,1.0295,55.55%,101.42%,102.96%,1371,1279,1084,49th,52nd,59th,1,1,1,100th,100th,100th
AL,01001,30823.1176666667,21695.285,32524.4256873945,33790.0345085369,0.974191259452422,0.651631292788195,"$30,823","$21,695","$32,524","$33,790",798,301,730,581,1173,688,70th,89th,73rd,78th,57th,74th,17,8,4,3,29,22,68th,86th,94th,96th,45th,58th,0.647519582245431,1.05427836411609,1.0529,64.79%,105.38%,105.27%,744,808,744,74th,71st,74th,30,30,31,43rd,43rd,41st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22740.2685714286,25746.47,19560.3791099317,14600.7779831102,1.13975411396828,1.12981339325779,"$22,740","$25,746","$19,560","$14,601",404,45,411,540,320,62,27th,92nd,26th,3rd,42nd,89th,17,6,13,22,19,7,36th,80th,52nd,16th,28th,76th,0.76,1.101664,1.1231,76.01%,110.22%,112.31%,248,329,54,57th,43rd,90th,20,18,6,34th,41st,82nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31504.8037349398,21261.18,33617.7790132047,33790.0345085369,0.960228127143855,0.608360766662203,"$31,505","$21,261","$33,618","$33,790",729,374,661,660,1054,719,71st,85th,74th,74th,58th,71st,10,7,4,4,24,16,79th,86th,93rd,93rd,47th,65th,0.630630630630631,1.04707689969605,1.0457,63.03%,104.72%,104.61%,685,745,718,74th,72nd,73rd,25,22,26,50th,56th,47th
AL,01003,30359.19584375,18492.74,34073.7934758477,34518.1210145988,0.900758627209624,0.541320622804886,"$30,359","$18,493","$34,074","$34,518",856,779,541,513,1485,1319,68th,71st,80th,81st,45th,51st,18,20,3,2,37,35,66th,62nd,96th,98th,29th,33rd,0.650264950794852,1.05570543644717,1.06215,65.01%,105.60%,106.26%,718,790,544,74th,72nd,81st,29,28,27,45th,47th,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31247.2166666667,26079.33,15226,15226,2.05222754936731,1.71281557861553,"$31,247","$26,079","$15,226","$15,226",180,39,539,533,30,18,67th,93rd,3rd,4th,94th,96th,11,5,23,21,5,2,60th,84th,12th,20th,84th,96th,0.923076923076923,1.1357,1.0916,92.29%,113.52%,109.12%,19,177,198,96th,69th,66th,5,14,16,86th,55th,48th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30342.2272929936,18492.74,34433.9423957683,34644.7498408264,0.878756036340369,0.541320622804886,"$30,342","$18,493","$34,434","$34,645",847,791,591,583,1374,1132,66th,69th,76th,77th,46th,55th,15,16,3,3,28,26,68th,65th,95th,95th,38th,43rd,0.647553516819572,1.05490116009281,1.0605,64.79%,105.49%,106.04%,562,645,450,79th,76th,83rd,21,20,19,58th,60th,62nd
AL,01005,26634.8908,23967.06,21207.409483791,20731.0504727329,1.3521587403559,1.05544006948466,"$26,635","$23,967","$21,207","$20,731",1362,140,2498,2482,327,85,50th,94th,8th,9th,88th,96th,26,6,40,41,10,7,50th,90th,23rd,21st,82nd,88th,0.751937984496124,1.09229763779528,1.0861,75.24%,109.23%,108.57%,235,377,246,91st,86th,91st,14,22,11,74th,58th,80th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20466.1035714286,21011.415,19699.5883639125,19630.0252363664,1.04331159881044,1.07820210118081,"$20,466","$21,011","$19,700","$19,630",455,133,406,399,379,79,18th,76th,27th,28th,32nd,85th,20,11,12,13,20,8,24th,60th,56th,52nd,24th,72nd,0.741379310344828,1.09608928571429,1.06285,74.14%,109.56%,106.26%,304,354,408,48th,39th,30th,25,20,21,17th,34th,31st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34486.0745454546,29163.92,23126.4545454545,27632,1.74523692050468,1.05544006948466,"$34,486","$29,164","$23,126","$27,632",455,35,2301,1620,74,66,82nd,98th,9th,36th,97th,97th,6,1,35,17,2,5,88th,100th,22nd,63rd,97th,90th,0.76056338028169,1.08930704225352,1.1023,76.01%,108.90%,110.22%,167,303,130,93rd,88th,95th,9,14,5,83rd,72nd,91st
AL,01007,14256.1313636364,8441.435,25172.2065175879,23247.9308357349,0.618587579054664,0.300736116861054,"$14,256","$8,441","$25,172","$23,248",2627,2573,2010,2243,2493,2616,4th,5th,26th,18th,8th,4th,50,49,26,29,51,50,3rd,5th,50th,45th,1st,3rd,0.693333333333333,1.09961333333333,1.0792,69.30%,110.00%,107.91%,452,316,296,84th,88th,89th,23,18,16,56th,66th,70th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14256.1313636364,8441.435,25172.2065175879,23247.9308357349,0.618587579054664,0.300736116861054,"$14,256","$8,441","$25,172","$23,248",2456,2421,2040,2248,2298,2423,3rd,5th,20th,11th,9th,5th,43,41,28,33,43,43,4th,9th,38th,27th,4th,4th,0.693333333333333,1.09961333333333,1.0792,69.3%,110.0%,107.91%,328,240,233,87th,91st,91st,16,9,9,68th,83rd,83rd
AL,01009,17295.0940677966,12754.8,28188.9861860443,27215.492787153,0.62099783716939,0.48954314821252,"$17,295","$12,755","$28,189","$27,215",2473,1968,1471,1621,2489,1709,9th,28th,46th,40th,9th,37th,46,39,12,14,50,40,11th,25th,78th,74th,3rd,23rd,0.46242774566474,0.980896449704142,1,46.20%,98.12%,99.99%,2300,1980,2317,19th,30th,19th,47,46,47,9th,11th,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17295.0940677966,12754.8,28188.9861860443,27215.492787153,0.62099783716939,0.48954314821252,"$17,295","$12,755","$28,189","$27,215",2317,1902,1533,1678,2295,1509,9th,25th,39th,34th,10th,40th,41,30,14,18,42,31,9th,34th,70th,61st,6th,31st,0.46242774566474,0.980896449704142,1,46.2%,98.12%,99.99%,2124,1779,2140,21st,34th,20th,44,41,43,10th,16th,12th
AL,01011,31018.8305263158,25502.91,18542.65984,18542.65984,1.67283608683811,1.37536417213379,"$31,019","$25,503","$18,543","$18,543",775,94,2617,2593,140,20,71st,96th,4th,5th,94th,99th,15,4,49,48,6,3,72nd,94th,5th,7th,90th,96th,0.840909090909091,1.21051973684211,1.1171,84.04%,121.00%,111.76%,58,27,78,97th,99th,97th,5,2,4,92nd,98th,94th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31018.8305263158,25502.91,18542.65984,18542.65984,1.67283608683811,1.37536417213379,"$31,019","$25,503","$18,543","$18,543",184,50,460,445,81,28,67th,91st,17th,20th,85th,95th,12,7,19,19,10,5,56th,76th,28th,28th,64th,84th,0.840909090909091,1.21051973684211,1.1171,84.04%,121.0%,111.76%,75,35,66,87th,94th,88th,11,4,9,65th,89th,72nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01013,18901.0075,19239.17,21456.0064087129,19545,0.885331788632061,0.721517335605383,"$18,901","$19,239","$21,456","$19,545",2343,633,2473,2562,1553,451,14th,76th,9th,6th,43rd,83rd,44,18,37,47,38,18,15th,66th,29th,9th,27th,66th,0.653333333333333,1.12901805555556,1.07055,65.34%,112.86%,107.03%,697,183,400,75th,93rd,86th,28,9,19,47th,84th,64th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17617.7090909091,19076.8,18496.0008868061,19132,0.943983628712332,0.976045024302891,"$17,618","$19,077","$18,496","$19,132",494,203,462,426,441,115,11th,63rd,17th,23rd,20th,79th,23,17,20,16,21,14,12th,36th,24th,40th,20th,48th,0.75609756097561,1.2245,1.1789,75.57%,122.43%,117.92%,262,25,12,55th,95th,98th,21,2,2,31st,96th,96th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20469.4833333333,19401.54,25073.7909354878,25601,0.81364620631173,0.664414681892333,"$20,469","$19,402","$25,074","$25,601",2049,628,2056,1955,1667,508,19th,75th,19th,23rd,34th,80th,35,14,29,22,34,12,22nd,70th,36th,52nd,25th,75th,0.529411764705882,1.01617575757576,1.0009,52.91%,101.64%,100.10%,1594,1245,1955,41st,53rd,27th,41,34,42,16th,31st,14th
